nu_D0,peak_High_meV_D0,peak_Mid_meV_D0,peak_Low_meV_D0,peak_LowPrime_meV_D0
-6,61.01,NaN,NaN,NaN
-5,61.576,NaN,54.374,52.28
-4,61.914,NaN,55.47,52.709
-3,62.29,NaN,55.623,54.213
-2,63.381,NaN,58.271,56.345
-1,65.545,62.371,NaN,NaN
0,69.041,66.42,NaN,NaN
0.5,65.744,63.222,61.038,NaN
1,64.675,NaN,58.857,NaN
1.5,62.961,NaN,56.577,NaN
2,62.656,NaN,57.143,NaN
2.5,63.21,NaN,56.274,NaN
3,64.001,62.333,55.557,NaN
3.5,63.824,NaN,54.433,NaN
4,65.02800000000001,NaN,53.136,NaN
5,65.09099999999999,NaN,NaN,NaN
6,64.783,NaN,NaN,NaN
