e_nu4,peak_nu4_HIGH,peak_nu4_LOW
649.1019999999999,NaN,40.133704962
498.247,NaN,44.9368551944
318.252,80.0305999874,51.9729619494
311.587,NaN,NaN
311.541,79.7913103656,52.4626997764
221.87,75.4469018952,56.2405001786
143.645,71.82036229019999,58.9780726394
133.714,71.1768839808,59.8695194688
107.498,69.8204961764,61.1453175042
100.496,NaN,NaN
93.95699999999999,69.1596600706,61.60901863660001
80.81979999999999,68.24465623179999,61.9499753516
66.0072,67.72020281200001,62.1247931582
59.33430000000001,NaN,NaN
54.05220000000001,67.1845908088,62.450871762
41.95820000000001,66.418368082,62.7533933564
30.0033,66.31794083139999,63.132785192
18.0483,65.631068031,63.9808375304
6.6759,NaN,NaN
6.2323,65.2578754084,NaN
4.5723,NaN,NaN
3.046659999999999,NaN,NaN
-9.999999999621423e-06,65.097935713,65.097935713
-5.907984,65.2268793434,NaN
-6.872971000000001,NaN,NaN
-17.7239,65.717857013,64.0477890308
-19.245,NaN,NaN
-31.7451,66.30430256279999,63.1489031458
-41.6339,66.93042307580001,62.74719414339999
-45.1659,NaN,62.2103422976
-53.6352,NaN,61.9536948794
-65.6828,67.5701818574,61.4106438206
-77.68410000000002,NaN,61.0672074204
-99.11150000000001,68.56825515039999,60.2588300452
-153.52,NaN,NaN
-156.689,71.28722997220001,58.2440858202
-207.466,73.45447483700001,NaN
-260.36,75.69239073,54.7923640218
-307.21,78.023294818,52.7515831022
