D_mV_per_nm,peak_A_meV,peak_B_meV,peak_C_meV
-68.92959999999999,62.3430054558,65.7525726058,71.81292323460001
-50.4833,63.11790708079999,66.746926371,71.12233090639999
-21.0633,65.36202218679999,67.37552656919999,69.5266534802
-12.0962,65.0247849996,67.29369695760001,69.0927085702
-7.917510000000001,NaN,66.6551780186,69.09394841279999
0.0353061,NaN,66.35265642419999,68.6848003548
8.57878,NaN,67.09284245639999,68.7976260314
12.3978,NaN,66.9539800852,68.69719878080001
26.7565,65.0632201202,67.2453430962,69.4510230816
38.6652,63.7427877512,67.14739553080001,70.6883859964
50.66650000000001,63.60020585220001,67.01101284480001,70.88180144200001
62.2971,63.15758204399999,66.4964781658,71.45460872320001
98.4864,61.8036739248,64.6057182008,71.830281031
110.441,59.952588923,65.03470374039999,72.2034736536
122.257,NaN,65.5665962158,NaN
134.351,62.1297525286,65.37442061279999,NaN
146.353,62.773230838,65.7662108744,NaN
194.172,65.469888493,67.90245967419999,NaN
236.409,67.46355539379999,69.76346341679999,NaN
289.72,70.7726952932,72.6101420264,NaN
349.494,74.7091955482,75.4407026822,NaN
409.316,77.36245871220001,79.3536459278,NaN
469.276,80.9542827244,82.12097461100001,NaN
528.912,83.3992523316,85.1003163788,NaN
