u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,77.61796113655727,70.75604097182904,44.288986131233756,51.719391035079965,,
-7.0,77.16809161236942,71.16400938943458,44.73219151260602,51.23391742919851,,
-6.0,76.72102799533585,71.57474464448634,45.178232088107215,50.751230459924464,,
-5.0,76.2767705393739,71.9882525018412,45.62710740240289,50.27133654255498,,
-4.0,75.83531902346563,72.40453828382219,46.07881653076277,49.79424165341107,,
-3.0,75.39667275219318,72.82360686544766,46.53335807941794,49.319951325219314,,
-2.0,74.96083055667913,73.2454626700132,46.9907301863254,48.848470642851154,,
-1.0,74.52779079593036,73.67010966503886,47.45093052233874,48.37980423942513,,
0.0,74.09755110480233,74.0975516123591,47.91395644946335,47.9139561361014,,
1.0,73.6701096650388,74.52779079593036,48.37980423942519,47.45093052233874,,
2.0,73.24546267001321,74.96083055667914,48.848470642851154,46.9907301863254,,
3.0,72.82360686544763,75.39667275219318,49.31995132521933,46.533358079417965,,
4.0,72.4045382838222,75.83531902346564,49.79424165341107,46.078816530762765,,
5.0,71.9882525018412,76.27677053937393,50.27133654255498,45.6271074024029,,
6.0,71.57474464448639,76.72102799533585,50.75123045992448,45.178232088107215,,
7.0,71.16400938943463,77.16809161236942,51.23391742919851,44.732191512606036,,
8.0,70.75604097182902,77.61796113655727,51.71939103507995,44.28898613123376,,
9.0,73.88385285606734,77.04202524178586,52.107336697141236,43.94892366109743,,
10.0,70.23002168843787,78.45924069558583,52.690602734193455,43.419148022468825,,
11.0,69.72175686145056,78.94329793801462,53.18750307035856,42.98133663920868,,
12.0,78.06815959440856,77.32833224003164,53.43359808089895,42.799919600153785,,
13.0,,65.01236913684102,63.543751812942574,,63.54375181294257,65.01236913684107
14.0,,65.55520416804285,64.11914716482191,,64.11914716482183,65.55520416804289
15.0,,66.1012581346233,64.69746740226222,,64.69746740226223,66.1012581346233
16.0,,66.65051603273685,65.27868960369277,,65.27868960369271,66.65051603273685
17.0,,67.20295857978041,65.86278791963707,,65.86278791963713,67.2029585797804
18.0,,67.7585646109962,66.44973529757473,,66.44973529757473,67.75856461099627
19.0,,68.31731182395036,67.03950402075398,,67.03950402075404,68.31731182395033
20.0,,68.87917706498101,67.63206591998969,,67.63206591998969,68.87917706498109
21.0,,69.44413646292189,68.2273924766011,,68.22739247660105,69.4441364629219
22.0,,70.01216550447688,68.82545488352991,,68.82545488352996,70.0121655044769
23.0,,70.58323908482923,69.42622408838665,,69.42622408838668,70.58323908482923
24.0,,71.15733154682485,70.02967082782754,,70.02967082782757,71.15733154682486
25.0,,71.73441671449729,70.63576565733592,,70.63576565733598,71.73441671449726
26.0,,72.31446792362273,71.2444789783114,,71.24447897831139,72.31446792362276
27.0,,72.89745805062672,71.85578106340702,,71.85578106340701,72.89745805062671
28.0,,73.48335954050843,72.4696420806071,,72.46964208060712,73.48335954050842
29.0,,74.072144434146,73.0860321163128,,73.0860321163128,74.07214443414598
30.0,,74.66378439515792,73.7049211975808,,73.7049211975808,74.66378439515783
