u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-2.0,-24.185161526710548,-16.203233208584532,-55.25643598487337,51.101407828284934,-22.206839101377607,-14.567572357725636,-59.67925704178841,46.76742256274465,-0.5221656366359755,4.712104891998438,-53.751035984873376,52.606807828284914,1.4561567886969622,6.347765742857332,-58.1738570417883,48.27282256274459,-7.544868997180806
-1.0,-23.690636037149602,-15.794342216504466,-55.32164452678866,51.056622939299686,-22.701473668083025,-14.976511690004184,-59.59720014364882,46.79374119932253,-0.027640147075027828,5.1209958840785195,-53.816244526788644,52.56202293929962,0.9615222219915928,5.938826410578801,-58.09180014364884,48.29914119932251,-7.502075918539606
0.0,-23.196072973340204,-15.385435047995927,-55.390223920660986,51.01528392888668,-23.196073084123302,-15.38543497117618,-59.51846380014143,46.82348357822639,0.4669228405797728,5.529903076528449,-53.8848239206609,52.52068392888687,0.46692288210564126,5.529903105465203,-58.01306380014153,48.328883578226325,-7.459256065298203
1.0,-22.701473668082986,-14.976511690004175,-55.46216496637758,50.97739126897756,-23.69063603714961,-15.794342216504456,-59.44305943951626,46.85665187058721,0.9615222219915939,5.938826410578803,-53.95676496637756,52.48279126897749,-0.027640147075028917,5.120995884078518,-57.937659439516224,48.36205187058726,-7.502075918539602
2.0,-22.206839101377607,-14.567572357725643,-55.53745690727448,50.94294534221731,-24.18516152671057,-16.20323320858455,-59.37099854041511,46.89324649769332,1.4561567886969606,6.347765742857334,-54.032056907274445,52.448345342217316,-0.5221656366359758,4.712104891998434,-57.865598540415114,48.3986464976933,-7.544868997180809
3.0,-21.712170455165275,-14.158617110603673,-55.616086595426765,50.91194743983859,-24.67964830949485,-16.612107881357847,-59.30229365712077,46.933265126888095,1.9508254349092953,6.7567209899793,-54.11068659542677,52.417347439838565,-1.0166524194203126,4.303230219225142,-57.79689365712076,48.438665126888154,-7.587634765011993
4.0,-21.21746883716613,-13.749646044462978,-55.69803629207977,50.884402376259594,-25.174095175412855,-17.02096612796846,-59.2369611332348,46.97670005098322,2.4455270529084436,7.165692056120011,-54.19263629207974,52.38980237625954,-1.5110992853382836,3.8943719726145294,-57.731561133234784,48.482100050983256,-7.630372664900631
5.0,-20.722735337046593,-13.340659253187928,-55.783277041090365,50.86032635915734,-25.66850089130367,-17.42980783908091,-59.175029310016015,47.023530320905856,2.9402605530279855,7.574678847395056,-54.27787704109034,52.365726359157364,-2.0055050012290825,3.4855302615020736,-57.66962931001614,48.528930320905914,-7.673082127208505
6.0,-20.22797102717196,-12.93165682880838,-55.87174460720002,50.83977561985265,-26.162864200004318,-17.83863290278642,-59.11656846182658,47.073693200224746,3.4350248629026177,7.983681271774588,-54.36634460719996,52.34517561985264,-2.499868309929724,3.0767051977965894,-57.61116846182661,48.579093200224726,-7.715762569369052
7.0,-19.733176963339595,-12.522638861585586,-55.96322413155385,50.8229841056043,-26.65718381938841,-18.247441204507094,-59.06183498062009,47.12694728543374,3.9298189267349706,8.392699238997396,-54.45782413155389,52.32838410560428,-2.994187929313836,2.6678968960758684,-57.55643498062011,48.63234728543371,-7.758413395449711
8.0,-19.238354185491268,-12.113605440095732,-55.64629259692323,51.22109320694201,-27.15145844137176,-18.656232626899982,-61.79003124173546,44.66657734390233,4.424641704583307,8.801732660487234,-52.46871450182067,54.90457463064606,-3.488462551297189,2.2591054736829577,-57.916521792071386,48.277535198059994,-7.801033995696461
