u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown
-3.0,67.76174549237146,60.90314128822366,57.99243650748516,65.01594368037875,,
-2.5,67.53276478722302,61.11864281957243,58.22736383250505,64.76836841387568,,
-2.0,67.30464103686948,61.334994920470294,58.46314087687181,64.52162278464564,,
-1.5,67.07737444140604,61.55219812282913,58.69976672859595,64.27570833071731,,
-1.0,66.85096515580418,61.77025288932671,58.93724041086716,64.03062655422764,,
-0.5,66.62541329457771,61.98915960849573,59.175560878327595,63.78637892581885,,
0.0,,,59.418130056274734,63.54636993803474,40.42447548709678,44.55271566177967
0.5,66.1768821442172,62.42953004374537,59.654737609591194,63.30039188052171,,
1.0,65.95390295898173,62.650994087091675,59.895591376956354,63.05865532359474,,
1.5,65.73178144228959,62.87331070088637,60.13728690642997,62.81775867162344,,
2.0,65.51051769994295,63.09647970627785,60.37982265013178,62.57770343241356,,
2.5,65.29011193791801,63.32050070843097,60.62319687435026,62.33849122605075,,
3.0,65.07056455044227,63.54537300824594,60.86740758540606,62.100123876345904,,
3.5,64.8518762686365,63.771095453558004,61.11245240443597,61.86260356557141,,
4.0,64.63404842072256,63.997666178951675,61.35832834819975,61.62593310584931,,
4.5,64.41708340719089,64.22508213119701,61.605031429068376,61.39011643540631,,
5.0,64.20098561234526,64.45333815998674,61.85255588848539,61.15515957151822,,
5.5,63.985763258080496,64.68242517120724,62.10089264021964,60.921072549990164,,
6.0,63.771432448661045,64.91232610301115,62.35002587897454,60.68787365962321,,
6.5,63.55802679498626,65.14300636475815,62.5999250244192,60.45559952333202,,
7.0,63.34562296718989,65.37438848994084,62.8505233705513,60.22433187669598,,
7.5,63.13441898071022,65.6062746030616,63.10165279704241,59.9942796457171,,
8.0,63.334698647037754,63.32280997080237,61.2704471623079,60.17562726575435,,
8.5,63.12451725566041,63.56723970004134,61.53187302254686,59.94656745975197,,
9.0,62.915182163210815,63.81250614964621,61.79409889566868,59.71835758307304,,
9.5,62.70669243145764,64.05860794258702,62.05712233889961,59.49099809072617,,
