u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-2.0,67.3046410368695,61.334994920470294,58.46314087687181,64.52162278464563,,
-1.0,66.87292691203682,61.75666579354578,58.90421425796517,64.07124066000065,,
0.0,63.87958825812178,59.61670649616476,59.363039903539736,63.638595525851,,
1.0,66.01203435112025,62.60252646742052,59.78893982178503,63.17301206689409,,
2.0,65.58285628661233,63.02671678681092,60.23258966351823,62.72516869213997,,
3.0,65.1545238972412,63.45174729164161,60.677095856567206,62.27817463262549,,
4.0,64.72703731344055,63.87761799855565,61.12245702249757,61.83203141213075,,
5.0,64.30039667619002,64.30432879409358,61.56867167252956,61.38674057841623,,
6.0,63.874602171025685,64.73187940047971,62.01573817904905,60.94230373821171,,
7.0,63.449654082018974,65.16026932143204,62.46365473024931,60.49872261304968,,
8.0,63.025552879934324,65.5894977537881,62.912419255914,60.05599913080373,,
9.0,62.60229937095257,66.01956343860923,63.362029302119915,59.614135580520134,,
10.0,62.17989495695889,66.45046440089853,63.8124818119634,59.17313488390248,,
11.0,61.75834211078897,66.88219747493862,64.26377272547026,58.73300109166471,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
20.0,,68.87917706498085,67.63206591998954,,67.63206591998957,68.87917706498087
21.0,,69.44413646292202,68.2273924766011,,68.22739247660111,69.44413646292206
22.0,,70.01216550447685,68.82545488352989,,68.82545488352994,70.01216550447683
23.0,,70.5832390848292,69.4262240883866,,69.42622408838675,70.58323908482922
24.0,,71.15733154682485,70.02967082782756,,70.02967082782757,71.15733154682489
25.0,,71.73441671449714,70.63576565733597,,70.63576565733597,71.73441671449717
26.0,,72.3144679236228,71.24447897831138,,71.24447897831138,72.31446792362277
27.0,,72.89745805062662,71.85578106340688,,71.8557810634069,72.89745805062662
28.0,,73.48335954050835,72.469642080607,,72.46964208060713,73.48335954050842
29.0,,74.0721444341459,73.08603211631262,,73.08603211631272,74.07214443414594
