u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown
-18.0,69.59327999274448,68.14012175724534,69.57915102664649,68.15216084981392,,,
-17.0,69.028629545249,67.5483680731754,69.01457845795824,67.56040576896265,,,
-16.0,68.46706997963716,66.95946502954504,68.45314666635583,66.97144524875353,,,
-15.0,67.89488593813006,62.36222826535139,,66.37309796679952,45.187688184496515,,
-14.0,67.33980885052766,61.79417553152713,,65.78977209097246,45.655025425547336,,
-13.0,,61.22927157185343,,61.22927157185347,46.125801434581426,46.12580143458145,
-12.0,69.84234721784887,,,68.02397895210481,57.18784633162228,,60.46289097379048
-11.0,69.31474695654194,,,67.4664318112326,57.587952321539476,,60.82774741707017
-10.0,68.79033827999734,,,66.91185646615502,57.991420482663415,,61.19580527844636
-9.0,68.67630267819368,,,66.76772564635554,55.47558085169824,,58.85132091499133
-8.0,68.15850609274452,,,66.21916400937499,55.905363846131614,,59.24284655960862
-7.0,70.0679819179207,,,67.68444788835336,55.925790382401075,,59.224889352451775
-6.0,69.576783092996,,,67.15781169165747,56.36234794025307,,59.62295143250147
-5.0,69.08891461133072,,,66.63431201814765,56.802378626669075,,60.02437698342449
-4.0,68.60441965570806,,,66.11399431443186,57.24584403551239,,60.42914181829731
-3.0,68.12331320061926,,,65.5968813447152,57.69273706144048,,60.83725078694204
-2.0,67.64560470774349,,,65.08299154701538,58.14305520462948,,61.24871299056865
-1.0,67.17130165692232,,,64.57234184540039,58.59679638020893,,61.663537898214116
0.0,59.101719763523924,62.65820480661739,,61.15280480661738,59.94257894835602,,
1.0,66.23293596909397,,,63.56082599662609,59.51453664774824,,62.50331093782161
2.0,65.76888295189246,,,63.05998961257154,59.978528124453035,,62.92827464505793
3.0,65.30825472161727,,,62.562452909624604,60.44592727823931,,63.35663205897782
4.0,64.85105387274791,,,62.06822901440283,60.916728040993384,,63.788388690713106
5.0,64.39728219248762,,,61.57733040515092,61.39092337418371,,64.22354903840343
6.0,63.946940757695074,,,61.08976899793812,61.86850519243551,,64.66211648101279
7.0,63.50003013056313,,,60.6055563355921,62.349464205374964,,65.10409307509428
8.0,63.05655078231307,,,60.12470401409807,62.833789567761684,,65.54947912459333
9.0,62.616504091153146,,,59.64722470794474,63.32146804469519,,65.99827217664706
