u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-35.0,-43.74858934233505,-32.30767649910441,-58.23995664161895,52.7250752652745,-7.1346208365578665,-1.3394781436593368,-60.56187034885104,47.52508821587517,-42.24318934233504,-30.80227649910442,-56.734556641619,54.23047526527444,-5.62922083655785,0.1659218563406602,-59.056470348851065,49.03048821587513,23.845505036107916
-34.5,-43.488636034843985,-32.087501432527134,-58.20031955789245,52.63317095686648,-7.395317333850038,-1.5594422855757077,-60.48956518685265,47.50510107140119,-41.98323603484403,-30.582101432527143,-56.69491955789236,54.13857095686662,-5.889917333850007,-0.054042285575707644,-58.98416518685265,49.010501071401166,23.725529392912744
-34.0,-43.22862388604885,-31.86728039905739,-58.16142333231295,52.5419489863892,-7.656054724803557,-1.7794519602854177,-60.417982215858494,47.48589247612729,-41.723223886048984,-30.361880399057355,-56.65602333231303,54.04734898638921,-6.150654724803558,-0.27405196028542655,-58.91258221585853,48.991292476127256,23.605920257920932
-33.5,-42.96855364437282,-31.647013920162692,-58.123270849390934,52.45141278899902,-7.916832583130215,-1.9995067826538935,-60.34712439486296,47.467464880593944,-41.46315364437273,-30.141613920162726,-56.61787084939096,53.95681278899907,-6.4114325831302335,-0.4941067826538943,-58.841724394862894,48.972864880594045,23.486679048970025
-33.0,-42.70842605999205,-31.426702524525613,-58.08586496694074,52.36156578444289,-8.17765047541818,-2.2196063593082793,-60.27699466270093,47.44982070452414,-41.203026059991956,-29.921302524525633,-56.580464966940724,53.866965784442804,-6.672250475418182,-0.7142063593082814,-58.771594662700934,48.955220704524145,23.367807172607932
-32.5,-42.44824188489426,-31.20634674800795,-58.049208515384905,52.27241137632755,-8.43850796112131,-2.439750288639285,-60.207595937383445,47.4329623361546,-40.9428418848943,-29.700946748007976,-56.543808515384896,53.77781137632745,-6.9331079611213315,-0.9343502886392929,-58.70219593738334,48.93836233615463,23.249306023757654
-32.0,-42.18800187293345,-30.98594713361193,-58.01330429705786,52.18395295138875,-8.699404592550433,-2.659938160807238,-60.13893111543024,47.41689213157129,-40.68260187293318,-29.48054713361196,-56.50790429705798,53.689352951388706,-7.194004592550453,-1.1545381608072358,-58.633531115430245,48.922292131571304,23.131176985382027
-31.5,-41.92770677987808,-30.765504231437365,-57.978155085512306,52.096193878755194,-8.960339914868001,-2.8801695577495106,-60.07100307120111,47.40161241404493,-40.422306779877964,-29.260104231437353,-56.47275508551232,53.60159387875514,-7.454939914867994,-1.3747695577495118,-58.565603071201124,48.90701241404504,23.013421428147712
-31.0,-41.6673573634575,-30.545018598637157,-57.943763624826566,52.009137509209836,-9.221313466084688,-3.100444053191416,-60.003814656224485,47.3871254733705,-40.1619573634576,-29.0396185986371,-56.438363624826636,53.514537509209816,-7.715913466084665,-1.5950440531914103,-58.49841465622442,48.892525473370526,22.896040710089547
-30.5,-41.40695438340114,-30.32449079936825,-57.91013262891574,51.922787174449574,-9.482324777058714,-3.3207612126617363,-59.93736869852552,47.37343356520849,-39.90155438340125,-28.8190907993682,-56.40473262891577,53.42818717444947,-7.976924777058702,-1.8153612126617413,-58.43196869852556,48.87883356520836,22.779036176273372
