u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-19.889638642174866,-11.563499460902609,-42.95962981067581,55.009028509657256,-11.9765343862944,-5.020872274098335,-43.847407527717735,54.68973553173328,-18.384238642174893,-10.058099460902598,-41.4542298106758,56.51442850965726,-10.47113438629437,-3.5154722740983377,-42.34200752771773,56.195135531733285,25.58713162881747
-7.0,-19.39536402019152,-11.154708038509701,-42.994043769655164,54.96795040786232,-12.471357164142724,-5.429905695588158,-43.77096734332612,54.68867052784901,-17.889964020191506,-9.649308038509682,-41.488643769655155,56.47335040786232,-10.965957164142715,-3.9245056955881616,-42.26556734332611,56.194070527849014,25.382082416130427
-6.0,-18.901044400807404,-10.745899736788989,-43.03127604343563,54.92969509254946,-12.966151227975061,-5.838923662810972,-43.69729834127488,54.690387815677965,-17.395644400807406,-9.240499736788962,-41.52587604343562,56.43509509254947,-11.460751227975056,-4.333523662810971,-42.19189834127487,56.19578781567797,25.1784320764335
-5.0,-18.406681092106762,-10.337074673083496,-43.071326294025816,54.894262700293005,-13.460915537849685,-6.247926087190514,-43.62640684828493,54.694893248653294,-16.90128109210677,-8.831674673083498,-41.565926294025815,56.39966270029301,-11.9555155378497,-4.742526087190516,-42.12100684828492,56.200293248653296,24.976183580731387
-4.0,-17.912275376215963,-9.928232961971036,-43.114193711273245,54.86165289549717,-13.95564903796925,-6.656912878465558,-43.558298750416064,54.70219223935923,-16.406875376215975,-8.42283296197104,-41.608793711273236,56.367052895497174,-12.450249037969233,-5.151512878465556,-42.05289875041606,56.207592239359236,24.775339680446837
-3.0,-17.41782851029799,-9.519374715360422,-43.1598770133178,54.83186487083537,-14.450350655968395,-7.065883944606266,-43.492979488365016,54.71228975484398,-15.912428510297998,-8.01397471536042,-41.654477013317795,56.33726487083538,-12.944950655968386,-5.560483944606267,-41.987579488365014,56.21768975484398,24.575902905118856
-2.0,-16.923341727513655,-9.110500042587127,-43.20837444745197,54.804897348094606,-14.945019302180718,-7.474839191728235,-43.43045405311882,54.72519031228756,-15.417941727513657,-7.605100042587132,-41.702974447451965,56.31029734809461,-13.439619302180718,-5.969439191728237,-41.92505405311882,56.23059031228756,24.377875560279662
-1.0,-16.42881623795271,-8.701609050507066,-43.25968379138522,54.78074857942588,-15.439653868886078,-7.883778524006766,-43.37072698197132,54.740897975034684,-14.923416237952711,-7.196209050507048,-41.75428379138522,56.286148579425884,-13.93425386888609,-6.378378524006759,-41.86532698197132,56.246297975034686,24.18125972551396
0.0,-15.934253177604438,-8.292701795686414,-43.31380235491087,54.75941634899512,-15.934253281466185,-8.292701891491715,-43.31380235491087,54.75941634899512,-14.428853258509765,-6.787301873454047,-41.80840235491087,56.26481634899512,-14.428853200560834,-6.787301813724061,-41.80840235491087,56.26481634899512,23.986057267635527
1.0,-15.439653868886088,-7.88377852400677,-43.37072698197132,54.740897975034684,-16.42881623795272,-8.701609050507045,-43.25968379138522,54.78074857942588,-13.934253868886099,-6.3783785240067665,-41.86532698197132,56.246297975034686,-14.92341623795271,-7.196209050507049,-41.75428379138522,56.286148579425884,24.18125972551396
2.0,-14.94501930218072,-7.474839191728243,-43.43045405311882,54.72519031228756,-16.923341727513645,-9.110500042587136,-43.20837444745197,54.804897348094606,-13.439619302180724,-5.969439191728235,-41.92505405311882,56.23059031228756,-15.417941727513648,-7.6051000425871305,-41.702974447451965,56.31029734809461,24.377875560279662
3.0,-14.450350655968384,-7.065883944606264,-43.492979488365016,54.71228975484398,-17.417828510297998,-9.519374715360424,-43.1598770133178,54.83186487083537,-12.944950655968407,-5.560483944606268,-41.987579488365014,56.21768975484398,-15.912428510298009,-8.013974715360423,-41.654477013317795,56.33726487083538,24.575902905118856
4.0,-13.955649037969238,-6.656912878465557,-43.558298750416064,54.70219223935923,-17.91227537621595,-9.92823296197105,-43.114193711273245,54.86165289549717,-12.450249037969215,-5.151512878465554,-42.05289875041606,56.207592239359236,-16.406875376215954,-8.422832961971038,-41.608793711273236,56.367052895497174,24.775339680446837
5.0,-13.460915537849699,-6.247926087190506,-43.62640684828493,54.694893248653294,-18.406681092106744,-10.337074673083496,-43.071326294025816,54.894262700293005,-11.955515537849687,-4.7425260871905115,-42.12100684828492,56.200293248653296,-16.901281092106757,-8.831674673083489,-41.565926294025815,56.39966270029301,24.97618358073139
6.0,-12.966151227975063,-5.838923662810968,-43.69729834127488,54.690387815677965,-18.901044400807415,-10.745899736788976,-43.03127604343563,54.92969509254946,-11.460751227975074,-4.333523662810971,-42.19189834127487,56.19578781567797,-17.395644400807395,-9.240499736788973,-41.52587604343562,56.43509509254947,25.1784320764335
7.0,-12.471357164142713,-5.429905695588164,-43.77096734332612,54.68867052784901,-19.39536402019152,-11.15470803850969,-42.994043769655164,54.96795040786232,-10.965957164142711,-3.9245056955881634,-42.26556734332611,56.194070527849014,-17.889964020191535,-9.649308038509696,-41.488643769655155,56.47335040786232,25.382082416130423
8.0,-11.976534386294373,-5.020872274098337,-43.847407527717735,54.68973553173328,-19.889638642174887,-11.563499460902591,-42.95962981067581,55.009028509657256,-10.471134386294377,-3.5154722740983395,-42.34200752771773,56.195135531733285,-18.38423864217489,-10.058099460902602,-41.4542298106758,56.51442850965726,25.587131628817467
9.0,-11.481683919210807,-4.611823485317137,-43.92661213211497,54.69357653808101,-20.38386693168807,-11.972273883761584,-42.92803403228129,55.052928789158806,-9.976283919210802,-3.10642348531714,-42.42121213211497,56.19897653808101,-18.878466931688063,-10.46687388376159,-41.42263403228129,56.558328789158814,25.793576526381937
10.0,-10.986806773188114,-4.202759414701895,-44.00857396395286,54.70018682719451,-20.878047525613063,-12.381031183917862,-42.89925582840806,55.09965016576553,-9.481406773188125,-2.697359414701895,-42.50317396395286,56.20558682719451,-19.3726475256131,-10.875631183917893,-41.39385582840806,56.60505016576554,26.001413706246307
11.0,-10.491903944697325,-3.7936801462736005,-44.09328540614598,54.70955925462291,-21.372179031682226,-12.789771235139025,-42.87329412191274,55.1491910878322,-8.986503944697324,-2.288280146273594,-42.58788540614598,56.21495925462291,-19.866779031682253,-11.28437123513901,-41.36789412191274,56.6545910878322,26.21063955417466
12.0,-19.16136107537973,-11.497796707812936,-58.02401158935319,47.44276934701198,-31.741522732054445,-22.14106257389826,-57.22194545723431,49.2523134730144,-17.65596107537973,-9.992396707812947,-56.51861158935306,48.94816934701204,-30.2361227320544,-20.635662573898305,-55.71654545723424,50.75771347301433,18.725186319599516
13.0,-18.63734621982141,-11.054779757791447,-58.09936136757188,47.40973439016896,-32.26516255858038,-22.5843136636426,-57.23062122288409,49.36937689124536,-17.13194621982137,-9.54937975779144,-56.593961367572064,48.915134390168966,-30.75976255858036,-21.0789136636426,-55.7252212228841,50.87477689124538,18.930177316188757
14.0,-18.11339666416893,-10.611850602015044,-58.17800322089936,47.380093088067966,-32.78870284743587,-23.02749333874313,-57.24262769767965,49.48966838843318,-16.607996664168937,-9.106450602015055,-56.67260322089936,48.88549308806799,-31.28330284743584,-21.52209333874313,-55.73722769767963,50.99506838843315,19.136821243026453
