u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-26.869686411518817,-17.34344021952624,-57.220719798520804,48.81666392140549,-18.774172670691758,-10.709290273791998,-57.75575834167127,47.60892284074692,-25.36428641151882,-15.838040219526238,-55.71531979852075,50.322063921405416,-17.26877267069174,-9.203890273791997,-56.25035834167115,49.11432284074691,19.20251628347746
-7.0,-26.361463764004114,-16.918376100680117,-57.22881802225326,48.71597676759102,-19.282479136185135,-11.134054664201049,-57.697031004179074,47.65897631819985,-24.856063764004098,-15.412976100680137,-55.723418022253156,50.221376767591096,-17.777079136185137,-9.628654664201035,-56.19163100417901,49.164376318199764,19.015160826999406
-6.0,-25.85319419067472,-16.493292852689944,-57.240289255013934,48.6186066492273,-19.790786251660364,-11.558837858340514,-57.641655078770235,47.71243744080832,-24.34779419067472,-14.987892852689939,-55.73488925501371,50.12400664922721,-18.285386251660352,-10.053437858340509,-56.13625507877023,49.217837440808395,18.829499791233907
-5.0,-25.344881382695625,-16.068193373159612,-57.2551375748825,48.52456562720679,-20.29909078570723,-11.983637210920989,-57.58963765347826,47.76930546201762,-23.83948138269562,-14.562793373159602,-55.749737574882495,50.0299656272068,-18.79369078570723,-10.478237210920987,-56.08423765347831,49.274705462017586,18.645534125548316
-4.0,-24.836529004786247,-15.643080556358848,-57.27336619575983,48.43386493606272,-20.807389468258016,-12.408450048365784,-57.54098498671569,47.82957874601203,-23.331129004786227,-14.137680556358827,-55.76796619575985,49.939264936062635,-19.301989468258007,-10.903050048365799,-56.03558498671565,49.33497874601219,18.463264348823117
-3.0,-24.328140694183052,-15.217957290948794,-57.294977464170465,48.34651497259063,-21.315678991621922,-12.833273670765385,-57.49570249848968,47.893254766625404,-22.82274069418305,-13.712557290948823,-55.789577464170534,49.85191497259061,-19.81027899162194,-11.327873670765388,-55.99030249848959,49.39865476662546,18.28269054793001
-2.0,-23.819720059573896,-14.792826457713232,-57.319972857179955,48.2625252855261,-21.82395601153988,-13.258105353877173,-57.45379476263768,47.960330107411224,-22.31432005957391,-13.28742645771325,-55.81457285718,49.76792528552597,-20.318556011539858,-11.752705353877179,-55.94839476263765,49.46573010741121,18.103812376767024
-1.0,-23.311270680011447,-14.36769092729811,-57.3483529814283,48.18190456630186,-22.332217148256866,-13.682942351169268,-57.41526550010449,48.030800462881395,-21.805870680011456,-12.86229092729811,-55.84295298142824,49.687304566301854,-20.826817148256854,-12.177542351169256,-55.90986550010435,49.53620046288137,17.92662905585607
0.0,-23.37196176343677,-14.574120095223693,-57.319805043723484,48.164973197273824,-23.04686451345844,-14.317386978958528,-57.44043010284083,48.04434808454512,-21.866561763436763,-13.068720095223698,-54.72868848030756,50.093118742922414,-21.541464513458426,-12.81198697895852,-57.02965571993015,49.13591159257025,17.6161805527933
1.0,-22.863359971718907,-14.148860606061337,-57.41526550010443,48.03080046288139,-23.554399310014066,-14.741427938704437,-57.34835298142828,48.181904566301974,-21.357959971718916,-12.643460606061334,-55.90986550010447,49.536200462881354,-22.048999310014057,-13.236027938704435,-55.84295298142828,49.687304566301876,17.693669928410028
