u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-19.889638642174866,-11.563499460902603,-57.2207197985208,48.81666392140549,-11.976534386294373,-5.020872274098337,-57.75575834167127,47.60892284074692,-18.384238642174868,-10.058099460902604,-55.71531979852075,50.322063921405416,-10.471134386294374,-3.5154722740983364,-56.25035834167115,49.11432284074691,22.046725283324292
-7.0,-19.39536402019152,-11.154708038509698,-57.22881802225326,48.71597676759102,-12.471357164142713,-5.429905695588164,-57.697031004179074,47.65897631819985,-17.88996402019152,-9.649308038509698,-55.72341802225316,50.221376767591096,-10.965957164142711,-3.9245056955881634,-56.19163100417901,49.16437631819976,21.86723531130584
-6.0,-18.901044400807404,-10.745899736788973,-57.240289255013934,48.6186066492273,-12.966151227975063,-5.838923662810973,-57.64165507877024,47.71243744080832,-17.395644400807406,-9.240499736788973,-55.73488925501371,50.12400664922721,-11.460751227975063,-4.333523662810973,-56.13625507877023,49.2178374408084,21.689456888998674
-5.0,-18.406681092106762,-10.337074673083492,-57.2551375748825,48.52456562720679,-13.460915537849699,-6.247926087190513,-57.58963765347826,47.76930546201762,-16.901281092106764,-8.83167467308349,-55.749737574882495,50.0299656272068,-11.9555155378497,-4.742526087190513,-56.08423765347831,49.27470546201759,21.513389687413554
-4.0,-17.912275376215963,-9.928232961971037,-57.27336619575983,48.43386493606272,-13.955649037969238,-6.65691287846556,-57.54098498671569,47.82957874601203,-16.406875376215964,-8.422832961971038,-55.76796619575985,49.93926493606264,-12.450249037969238,-5.151512878465559,-56.03558498671565,49.33497874601219,21.339032933773236
-3.0,-17.41782851029799,-9.519374715360422,-57.29497746417047,48.34651497259063,-14.450350655968384,-7.065883944606267,-57.49570249848968,47.89325476662541,-15.912428510297994,-8.013974715360423,-55.78957746417053,49.85191497259061,-12.944950655968384,-5.5604839446062675,-55.99030249848959,49.39865476662546,21.16638541100957
-2.0,-16.923341727513655,-9.11050004258713,-57.31997285717996,48.2625252855261,-14.94501930218072,-7.474839191728234,-57.45379476263768,47.96033010741122,-15.417941727513655,-7.6051000425871305,-55.81457285718,49.76792528552597,-13.43961930218072,-5.969439191728234,-55.94839476263765,49.46573010741121,20.99544545784149
-1.0,-16.42881623795271,-8.701609050507049,-57.3483529814283,48.18190456630186,-15.439653868886088,-7.883778524006765,-57.41526550010449,48.0308004628814,-14.92341623795271,-7.196209050507049,-55.84295298142824,49.687304566301854,-13.934253868886087,-6.378378524006765,-55.90986550010435,49.53620046288137,20.82621096943732
0.0,-15.93425322953531,-8.29270184358906,-57.31980504372349,48.164973197273824,-15.93425322953531,-8.29270184358906,-57.44043010284083,48.04434808454512,-14.42885322953531,-6.787301843589058,-54.72868848030756,50.093118742922414,-14.42885322953531,-6.787301843589058,-57.02965571993015,49.13591159257025,20.628523120478032
1.0,-15.439653868886088,-7.883778524006765,-57.41526550010443,48.03080046288139,-16.42881623795271,-8.701609050507049,-57.34835298142828,48.18190456630197,-13.934253868886087,-6.378378524006765,-55.90986550010447,49.53620046288136,-14.92341623795271,-7.196209050507049,-55.84295298142828,49.68730456630188,20.826210969437312
2.0,-14.94501930218072,-7.474839191728234,-57.45379476263764,47.96033010741115,-16.923341727513655,-9.11050004258713,-57.31997285717997,48.26252528552602,-13.43961930218072,-5.969439191728234,-55.94839476263763,49.465730107411126,-15.417941727513655,-7.6051000425871305,-55.814572857179975,49.76792528552596,20.99544545784146
3.0,-14.450350655968384,-7.065883944606267,-57.495702498489656,47.893254766625525,-17.41782851029799,-9.519374715360422,-57.294977464170486,48.34651497259072,-12.944950655968384,-5.5604839446062675,-55.990302498489626,49.39865476662547,-15.912428510297994,-8.013974715360423,-55.78957746417049,49.85191497259066,21.166385411009628
4.0,-13.955649037969238,-6.65691287846556,-57.54098498671566,47.82957874601202,-17.912275376215963,-9.928232961971037,-57.273366195760026,48.433864936062655,-12.450249037969238,-5.151512878465559,-56.03558498671567,49.3349787460121,-16.406875376215964,-8.422832961971038,-55.76796619575987,49.93926493606267,21.33903293377323
5.0,-13.460915537849699,-6.247926087190513,-57.58963765347831,47.76930546201757,-18.406681092106762,-10.337074673083492,-57.25513757488256,48.52456562720676,-11.9555155378497,-4.742526087190513,-56.08423765347828,49.27470546201761,-16.901281092106764,-8.83167467308349,-55.74973757488254,50.02996562720672,21.51338968741353
6.0,-12.966151227975063,-5.838923662810973,-57.64165507877024,47.71243744080829,-18.901044400807404,-10.745899736788973,-57.24028925501375,48.61860664922722,-11.460751227975063,-4.333523662810973,-56.13625507877024,49.217837440808296,-17.395644400807406,-9.240499736788973,-55.73488925501373,50.12400664922723,21.689456888998656
7.0,-12.471357164142713,-5.429905695588164,-57.69703100417921,47.658976318199706,-19.39536402019152,-11.154708038509698,-57.22881802225319,48.71597676759112,-10.965957164142711,-3.9245056955881634,-56.19163100417903,49.1643763181997,-17.88996402019152,-9.649308038509698,-55.72341802225318,50.22137676759112,21.86723531130577
8.0,-11.976534386294373,-5.020872274098337,-57.755758341671104,47.60892284074693,-19.889638642174866,-11.563499460902603,-57.22071979852073,48.81666392140541,-10.471134386294374,-3.5154722740983364,-56.25035834167123,49.11432284074684,-18.384238642174868,-10.058099460902604,-55.71531979852073,50.32206392140538,22.046725283324296
9.0,-11.481683919210807,-4.61182348531714,-57.81782918336953,47.56227686798872,-20.383866931688075,-11.972273883761583,-57.21598964585635,48.92065523582315,-9.976283919210807,-3.1064234853171393,-56.31242918336943,49.067676867988624,-18.878466931688077,-10.466873883761583,-55.71058964585632,50.42605523582317,22.227926691335792
10.0,-10.986806773188114,-4.202759414701896,-57.88323481229412,47.51903737583381,-20.878047525613038,-12.381031183917875,-57.21462177181169,49.02793703544296,-9.481406773188114,-2.697359414701896,-56.37783481229411,49.024437375833735,-19.372647525613043,-10.875631183917875,-55.70922177181168,50.533337035442926,22.41083898056596
11.0,-10.491903944697325,-3.7936801462735947,-57.95196571404011,47.479202461074514,-21.37217903168223,-12.78977123513902,-57.21660953592152,49.13849485867201,-8.986503944697326,-2.288280146273594,-56.44656571404016,48.98460246107449,-19.86677903168223,-11.28437123513902,-55.71120953592152,50.64389485867202,22.59546115740046
12.0,-19.16136107537973,-11.497796707812936,-58.02401158935319,47.44276934701198,-31.741522732054445,-22.14106257389826,-57.22194545723431,49.2523134730144,-17.65596107537973,-9.992396707812947,-56.51861158935306,48.94816934701204,-30.2361227320544,-20.635662573898305,-55.71654545723424,50.75771347301433,18.725186319599516
13.0,-18.63734621982141,-11.054779757791447,-58.09936136757188,47.40973439016896,-32.26516255858038,-22.5843136636426,-57.23062122288409,49.36937689124536,-17.13194621982137,-9.54937975779144,-56.593961367572064,48.915134390168966,-30.75976255858036,-21.0789136636426,-55.7252212228841,50.87477689124538,18.930177316188757
14.0,-18.11339666416893,-10.611850602015044,-58.17800322089936,47.380093088067966,-32.78870284743587,-23.02749333874313,-57.24262769767965,49.48966838843318,-16.607996664168937,-9.106450602015055,-56.67260322089936,48.88549308806799,-31.28330284743584,-21.52209333874313,-55.73722769767963,50.99506838843315,19.136821243026453
15.0,-17.589518019187338,-10.16901476008347,-58.25992457946017,47.353840088050426,-33.31213700965665,-23.470595546677245,-57.257954934684136,49.613170519762114,-16.08411801918731,-8.663614760083496,-56.75452457946023,48.85924008805035,-31.806737009656626,-21.96519554667725,-55.75255493468407,51.11857051976215,19.345112663983464
16.0,-17.06571580819757,-9.72627766108134,-58.34511214710929,47.33096919710282,-33.83545847086862,-23.913614289510804,-57.27659218675864,49.73986513911605,-15.560315808197554,-8.220877661081325,-56.839712147109104,48.83636919710282,-32.33005847086869,-22.4082142895108,-55.77119218675864,51.24526513911599,19.555045768010746
17.0,-16.541995464176498,-9.283644639598842,-58.433551917942935,47.31147339266341,-34.35866067405261,-24.356543628605657,-57.29852791903673,49.86973341837092,-15.036595464176544,-7.778244639598866,-56.928151917942834,48.816873392663325,-32.853260674052635,-22.85114362860564,-55.79312791903662,51.37513341837093,19.76661437653227
18.0,-16.01836232700042,-8.841120931934812,-58.52522919347472,47.295344834369686,-34.88173708213659,-24.799377689187352,-57.323749822298005,50.0027558673549,-14.512962327000414,-7.335720931934851,-57.0198291934747,48.80074483436969,-33.3763370821365,-23.293977689187354,-55.818349822298,51.50815586735488,19.979811951217417
19.0,-15.494821640841211,-8.39871167248738,-58.62012860042709,47.28257487671622,-35.404681180406655,-25.24211066476103,-57.3522448272046,50.13891235442176,-13.98942164084124,-6.893311672487365,-57.11472860042711,48.78797487671618,-33.89928118040665,-23.736710664760984,-55.8468448272045,51.644312354421785,20.194631602114427
20.0,-14.971378551717748,-7.956421890338532,-58.718234109094745,47.273154082579154,-35.92748647872788,-25.68473682137065,-57.38399911936395,50.27818212758957,-13.465978551717756,-6.451021890338535,-57.21283410909467,48.77855408257927,-34.422086478728026,-24.17933682137065,-55.87859911936393,51.78358212758943,20.411066096120308
21.0,-14.44803810520964,-7.514256506036227,-58.819529052233854,47.267072237571945,-36.450146513563546,-26.127250501693425,-57.41899815517801,50.42054383619698,-12.942638105209642,-6.008856506036225,-57.31412905223378,48.77247223757188,-34.944746513563466,-24.62185050169336,-55.91359815517804,51.92594383619711,20.62910786576786
22.0,-13.92480524433562,-7.072220328580164,-58.9239961444306,47.26431836518512,-36.97265484978759,-26.569646128962503,-57.45722667843813,50.565975553019,-12.419405244335634,-5.566820328580188,-57.418596144430616,48.76971836518506,-35.467254849787615,-25.06424612896253,-55.95182667843816,52.07137555301894,20.848749018302467
23.0,-13.401684807601296,-6.630318052612157,-59.0316175019013,47.26488074267354,-37.495005082280834,-27.0119182107146,-57.49866873762378,50.71445479679771,-11.896284807601289,-5.124918052612144,-57.52621750190128,48.77028074267354,-35.989605082280896,-25.506518210714624,-55.993268737623765,52.21985479679774,21.069981345030698
