u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-27.528915308640297,-17.946049513350925,-57.2207197985208,48.81666392140549,-19.373278118150505,-11.140339854381402,-57.75575834167127,47.60892284074692,-26.02351530864028,-16.440649513350905,-55.71531979852075,50.322063921405416,-17.867878118150486,-9.634939854381395,-56.25035834167115,49.11432284074691,18.986991493182764
-7.0,-27.019891319228364,-17.520050495624684,-57.22881802225326,48.71597676759102,-19.882562307211714,-11.566244922286238,-57.697031004179074,47.65897631819985,-25.514491319228377,-16.014650495624696,-55.72341802225316,50.221376767591096,-18.37716230721172,-10.060844922286241,-56.19163100417901,49.16437631819976,18.799065697956802
-6.0,-26.51082014474529,-17.094032046288508,-57.240289255013934,48.6186066492273,-20.391849851306965,-11.992171949815747,-57.64165507877024,47.71243744080832,-25.00542014474529,-15.588632046288536,-55.73488925501371,50.12400664922721,-18.88644985130694,-10.486771949815738,-56.13625507877023,49.2178374408084,18.61283274549629
-5.0,-26.001705613999444,-16.66799722353032,-57.2551375748825,48.52456562720679,-20.90113736685192,-12.418118114143976,-57.58963765347826,47.76930546201762,-24.496305613999464,-15.162597223530321,-55.749737574882495,50.0299656272068,-19.395737366851918,-10.912718114143978,-56.08423765347831,49.27470546201759,18.42829367393682
-4.0,-25.492551529427057,-16.241949082289345,-57.27336619575983,48.43386493606272,-21.410421429605364,-12.844080561825242,-57.54098498671569,47.82957874601203,-23.987151529427067,-14.736549082289388,-55.76796619575985,49.93926493606264,-19.905021429605384,-11.338680561825242,-56.03558498671565,49.33497874601219,18.245449092093395
-3.0,-24.983361665936858,-15.815890671844521,-57.29497746417047,48.34651497259063,-21.919698575819904,-13.270056410883884,-57.49570249848968,47.89325476662541,-23.47796166593685,-14.310490671844532,-55.78957746417053,49.85191497259061,-20.41429857581991,-11.764656410883884,-55.99030249848959,49.39865476662546,18.064299177870765
-2.0,-24.474139769726655,-15.389825033407739,-57.31997285717996,48.2625252855261,-22.428965303415787,-13.696042752953277,-57.45379476263768,47.96033010741122,-22.968739769726646,-13.884425033407746,-55.81457285718,49.76792528552597,-20.923565303415792,-12.190642752953279,-55.94839476263765,49.46573010741121,17.884843677228968
-1.0,-23.9648895570793,-14.963755197726877,-57.3483529814283,48.18190456630186,-22.938218073176326,-14.12203665546283,-57.41526550010449,48.0308004628814,-22.459489557079287,-13.458355197726872,-55.84295298142824,49.687304566301854,-21.432818073176318,-12.61663665546283,-55.90986550010435,49.53620046288137,17.707081903709287
0.0,-23.418758658185464,-14.511078182216881,-57.31980504372349,48.164973197273824,-23.345047149113004,-14.454315160946397,-57.44043010284083,48.04434808454512,-20.965906502149625,-12.465673791026463,-54.72868848030756,50.093118742922414,-20.89219503805153,-12.408910798262639,-57.02965571993015,49.13591159257025,17.81771864314124
1.0,-22.96035918030031,-14.117647049060707,-57.41526550010443,48.03080046288139,-23.904946350693187,-14.91270691010837,-57.34835298142828,48.18190456630197,-21.454959180300303,-12.612247049060715,-55.90986550010447,49.53620046288136,-22.399546350693182,-13.407306910108366,-55.84295298142828,49.68730456630188,17.709276706910337
2.0,-22.46590605012165,-13.716268074657519,-57.45379476263764,47.96033010741115,-24.50783048075369,-15.392183534350442,-57.31997285717997,48.26252528552602,-20.960506050121634,-12.210868074657547,-55.94839476263763,49.465730107411126,-23.002430480753706,-13.886783534350442,-55.814572857179975,49.76792528552596,17.874731016376803
3.0,-21.956951809200135,-13.290646300374883,-57.495702498489656,47.893254766625525,-25.017058488222577,-15.818256302589033,-57.294977464170486,48.34651497259072,-20.451551809200165,-11.785246300374881,-55.990302498489626,49.39865476662547,-23.511658488222572,-14.312856302589022,-55.78957746417049,49.85191497259066,18.054004233125323
4.0,-21.447986841621184,-12.865034659724422,-57.54098498671566,47.82957874601202,-25.526254367151704,-16.24432173104595,-57.273366195760026,48.433864936062655,-19.942586841621207,-11.359634659724424,-56.03558498671567,49.3349787460121,-24.020854367151678,-14.738921731045949,-55.76796619575987,49.93926493606267,18.2349720431438
5.0,-20.93901459602167,-12.43943599872276,-57.58963765347831,47.76930546201757,-26.035414369683235,-16.670376776572585,-57.25513757488256,48.52456562720676,-19.433614596021684,-10.934035998722766,-56.08423765347828,49.27470546201761,-24.530014369683244,-15.16497677657259,-55.74973757488254,50.02996562720672,18.417634731647404
6.0,-20.430038483050055,-12.01385313739678,-57.64165507877024,47.71243744080829,-26.544534719314154,-17.096418388030006,-57.24028925501375,48.61860664922722,-18.924638483050025,-10.508453137396772,-56.13625507877024,49.217837440808296,-25.039134719314134,-15.591018388030005,-55.73488925501373,50.12400664922723,18.60199215170576
7.0,-19.91886441838478,-11.568698497922414,-57.69703100417921,47.658976318199706,-27.062431862581867,-17.60842752615619,-57.22881802225319,48.71597676759112,-18.413464418384795,-10.063298497922386,-56.19163100417903,49.1643763181997,-25.55703186258186,-16.103027526156172,-55.72341802225318,50.22137676759112,18.79783891013866
8.0,-19.409741929739273,-11.142982080502541,-57.755758341671104,47.60892284074693,-27.571302271396085,-18.03424736651839,-57.22071979852073,48.81666392140541,-17.904341929739306,-9.637582080502545,-56.25035834167123,49.11432284074684,-26.065902271396045,-16.528847366518377,-55.71531979852073,50.32206392140538,18.98567038012219
