u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-28.904158441371763,-20.408932626900043,-42.95962981067581,55.009028509657256,-20.99105418549129,-13.866305440095754,-43.847407527717735,54.68973553173328,-2.9128117044221873,2.8347563205579607,-41.4542298106758,56.51442850965726,5.000292551458301,9.37738350736223,-42.34200752771773,56.195135531733285,-8.38955857225897
-7.0,-28.409883819388412,-20.000141204507102,-42.994043769655164,54.96795040786232,-21.485876963339617,-14.275338861585574,-43.77096734332612,54.68867052784901,-2.4185370824388377,3.243547742950868,-41.488643769655155,56.47335040786232,4.505469773609967,8.968350085872403,-42.26556734332611,56.194070527849014,-8.346937972012206
-6.0,-27.915564200004297,-19.591332902786377,-43.03127604343563,54.92969509254946,-21.980671027171955,-14.68435682880838,-43.69729834127488,54.690387815677965,-1.9242174630547242,3.6523560446715915,-41.52587604343562,56.43509509254947,4.010675709777618,8.559332118649593,-42.19189834127487,56.19578781567797,-8.304287145931552
-5.0,-27.421200891303656,-19.182507839080902,-43.071326294025816,54.894262700293005,-22.475435337046584,-15.093359253187936,-43.62640684828493,54.694893248653294,-1.4298541543540806,4.061181108377077,-41.565926294025815,56.39966270029301,3.51591139990298,8.150329694270052,-42.12100684828492,56.200293248653296,-8.261606703771008
-4.0,-26.926795175412856,-18.77366612796845,-43.114193711273245,54.86165289549717,-22.970168837166113,-15.502346044462977,-43.558298750416064,54.70219223935923,-0.9354484384632833,4.47002281948953,-41.608793711273236,56.367052895497174,3.0211778997834453,7.741342902995007,-42.05289875041606,56.207592239359236,-8.21889724146313
-3.0,-26.432348309494888,-18.364807881357827,-43.1598770133178,54.83186487083537,-23.464870455165272,-15.911317110603676,-43.492979488365016,54.71228975484398,-0.4410015725453079,4.878881066100146,-41.654477013317795,56.33726487083538,2.5264762817842987,7.332371836854299,-41.987579488365014,56.21768975484398,-8.176159341574492
-2.0,-25.93786152671055,-17.955933208584536,-43.20837444745197,54.804897348094606,-23.95953910137761,-16.320272357725646,-43.43045405311882,54.72519031228756,0.053485210239023695,5.287755738873434,-41.702974447451965,56.31029734809461,2.0318076355719623,6.923416589732333,-41.92505405311882,56.23059031228756,-8.13339357374331
-1.0,-25.443336037149603,-17.54704221650446,-43.25968379138522,54.78074857942588,-24.454173668082984,-16.72921169000418,-43.37072698197132,54.740897975034684,0.5480106997999714,5.696646730953519,-41.75428379138522,56.286148579425884,1.5371730688665932,6.514477257453802,-41.86532698197132,56.246297975034686,-8.090600495102105
0.0,-24.94877371160358,-17.138134469752963,-43.31380235491087,54.75941634899512,-24.948772345860856,-17.138135549419967,-43.31380235491087,54.75941634899512,1.0425736974624846,6.105553927116615,-41.80840235491087,56.26481634899512,1.0425737189722626,6.105553948626398,-41.80840235491087,56.26481634899512,-8.04778038614524
1.0,-24.45417366808298,-16.729211690004178,-43.37072698197132,54.740897975034684,-25.4433360371496,-17.54704221650446,-43.25968379138522,54.78074857942588,1.5371730688665928,6.514477257453806,-41.86532698197132,56.246297975034686,0.5480106997999714,5.696646730953518,-41.75428379138522,56.286148579425884,-8.090600495102104
2.0,-23.95953910137761,-16.320272357725653,-43.43045405311882,54.72519031228756,-25.93786152671053,-17.95593320858455,-43.20837444745197,54.804897348094606,2.031807635571963,6.923416589732338,-41.92505405311882,56.23059031228756,0.05348521023902373,5.287755738873437,-41.702974447451965,56.31029734809461,-8.133393573743314
3.0,-23.464870455165276,-15.91131711060367,-43.492979488365016,54.71228975484398,-26.43234830949488,-18.364807881357837,-43.1598770133178,54.83186487083537,2.526476281784297,7.332371836854299,-41.987579488365014,56.21768975484398,-0.4410015725453103,4.878881066100145,-41.654477013317795,56.33726487083538,-8.17615934157449
4.0,-22.97016883716613,-15.502346044462968,-43.558298750416064,54.70219223935923,-26.926795175412856,-18.773666127968465,-43.114193711273245,54.86165289549717,3.021177899783448,7.741342902995006,-42.05289875041606,56.207592239359236,-0.9354484384632838,4.470022819489529,-41.608793711273236,56.367052895497174,-8.218897241463125
5.0,-22.47543533704659,-15.09335925318793,-43.62640684828493,54.694893248653294,-27.42120089130365,-19.18250783908088,-43.071326294025816,54.894262700293005,3.5159113999029876,8.15032969427005,-42.12100684828492,56.200293248653296,-1.4298541543540837,4.061181108377075,-41.565926294025815,56.39966270029301,-8.261606703771006
6.0,-21.980671027171955,-14.684356828808397,-43.69729834127488,54.690387815677965,-27.9155642000043,-19.59133290278639,-43.03127604343563,54.92969509254946,4.01067570977762,8.559332118649596,-42.19189834127487,56.19578781567797,-1.9242174630547237,3.6523560446715937,-41.52587604343562,56.43509509254947,-8.30428714593156
7.0,-21.485876963339607,-14.275338861585583,-43.77096734332612,54.68867052784901,-28.40988381938841,-20.0001412045071,-42.994043769655164,54.96795040786232,4.505469773609967,8.968350085872418,-42.26556734332611,56.194070527849014,-2.418537082438836,3.243547742950869,-41.488643769655155,56.47335040786232,-8.34693797201221
8.0,-20.991054185491265,-13.866305440095747,-43.847407527717735,54.68973553173328,-28.904158441371766,-20.408932626899983,-42.95962981067581,55.009028509657256,5.000292551458304,9.377383507362232,-42.34200752771773,56.195135531733285,-2.9128117044221864,2.8347563205579633,-41.4542298106758,56.51442850965726,-8.389558572258967
9.0,-20.496203718407703,-13.457256651314555,-43.92661213211497,54.69357653808101,-29.398386730884965,-20.817707049759004,-42.92803403228129,55.052928789158806,5.495143018541879,9.786432296143419,-42.42121213211497,56.19897653808101,-3.4070399939353937,2.425981897698983,-41.42263403228129,56.558328789158814,-8.432148322624975
10.0,-20.001326572385008,-13.048192580699299,-44.00857396395286,54.70018682719451,-29.89256732480994,-21.226464349915293,-42.89925582840806,55.09965016576553,5.990020164564569,10.195496366758668,-42.50317396395286,56.20558682719451,-3.9012205878603616,2.0172245975426923,-41.39385582840806,56.60505016576554,-8.47470658427983
11.0,-19.506423743894217,-12.639113312270984,-44.09328540614598,54.70955925462291,-30.386698830879084,-21.635204401136413,-42.87329412191274,55.1491910878322,6.484922993055361,10.604575635186986,-42.58788540614598,56.21495925462291,-4.395352093929543,1.6084845463215471,-41.36789412191274,56.6545910878322,-8.517232703100264
12.0,0.6300342620886995,8.932662178220003,-54.03863179103434,53.86016203440432,-30.300264361346013,-19.87524988774894,-62.10815549148945,44.59750367559518,2.135434262088704,10.438062178220012,-52.53323179103439,55.365562034404334,-28.794864361346047,-18.36984988774896,-60.602755491489454,46.10290367559525,-8.86990781283013
