u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-24.44457410801574,-15.955554208118846,-57.09962981067581,49.16902850965725,-17.72568207423905,-10.685268773543301,-57.987407527717735,48.84973553173327,-3.452991482803644,2.347507378276855,-55.5942298106758,50.67442850965726,4.395035285488449,8.802040428203298,-56.482007527717734,50.35513553173328,-7.069130128173473
-7.0,-24.657183819388393,-16.247441204507084,-57.134043769655165,49.127950407862315,-17.73317696333959,-10.522638861585586,-57.91096734332612,48.84867052784901,-2.9941879293138323,2.6678968960758693,-55.628643769655156,50.63335040786232,3.929818926734964,8.392699238997402,-56.40556734332611,50.35407052784902,-6.758413395449709
-6.0,-24.162864200004304,-15.83863290278638,-57.17127604343563,49.08969509254946,-18.227971027171954,-10.93165682880837,-57.83729834127488,48.85038781567796,-2.4998683099297265,3.076705197796591,-55.665876043435624,50.59509509254947,3.4350248629026146,7.983681271774592,-56.33189834127487,50.35578781567797,-6.715762569369048
-5.0,-23.66850089130366,-15.42980783908091,-57.21132629402582,49.05426270029301,-18.722735337046565,-11.340659253187924,-57.76640684828493,48.8548932486533,-2.005505001229082,3.4855302615020727,-55.705926294025815,50.559662700293,2.9402605530279824,7.574678847395052,-56.26100684828492,50.36029324865329,-6.673082127208503
-4.0,-23.174095175412855,-15.020966127968444,-57.254193711273246,49.02165289549717,-19.21746883716615,-11.749646044462981,-57.698298750416065,48.86219223935923,-1.5110992853382825,3.8943719726145236,-55.74879371127324,50.52705289549718,2.445527052908445,7.165692056120008,-56.19289875041606,50.36759223935924,-6.630372664900632
-3.0,-22.67964830949488,-14.612107881357826,-57.2998770133178,48.99186487083537,-19.712170455165264,-12.158617110603679,-57.63297948836502,48.872289754843976,-1.016652419420314,4.303230219225141,-55.794477013317795,50.49726487083538,1.9508254349092988,6.7567209899793035,-56.127579488365015,50.377689754843985,-6.587634765011996
-2.0,-22.185161526710544,-14.203233208584535,-57.348374447451974,48.96489734809461,-20.206839101377607,-12.567572357725648,-57.57045405311882,48.88519031228756,-0.5221656366359766,4.712104891998435,-55.842974447451965,50.470297348094604,1.4561567886969615,6.347765742857333,-56.06505405311882,50.39059031228756,-6.544868997180813
-1.0,-21.690636037149602,-13.794342216504445,-57.39968379138522,48.940748579425886,-20.70147366808297,-12.97651169000417,-57.510726981971324,48.90089797503468,-0.027640147075028945,5.120995884078515,-55.89428379138522,50.44614857942588,0.9615222219915919,5.938826410578801,-56.00532698197132,50.40629797503469,-6.5020759185395995
0.0,-19.360244458711158,-11.791856181157282,-57.45380235491087,48.919416348995114,-19.36024417965967,-11.791856414104307,-57.45380235491087,48.919416348995114,0.4735274589038286,5.536299348722448,-55.94840235491087,50.42481634899512,0.473527475329173,5.536299351866358,-55.94840235491087,50.42481634899512,-5.659164361126726
1.0,-20.70147366808298,-12.976511690004177,-57.510726981971324,48.90089797503468,-21.690636037149588,-13.794342216504454,-57.39968379138522,48.940748579425886,0.9615222219915911,5.938826410578798,-56.00532698197132,50.40629797503469,-0.02764014707502772,5.120995884078519,-55.89428379138522,50.44614857942588,-6.502075918539602
