u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,71.27359298711242,57.95243201511976,48.56786653484685,72.48805036410269,,,
-7.0,71.26291890542547,57.74911003059823,48.586544678937976,72.17086881234566,,,
-6.0,71.25659938547267,57.58182150635076,48.60842770217177,71.87312695081208,,,
-5.0,71.25444392701948,57.44815260964482,48.63174111463173,71.59587784012238,,,
-4.0,71.25560919645798,57.34428642532871,48.654649285623464,71.34168260603958,,,
-3.0,71.25793962683161,57.26424483902941,48.67638648187773,71.11503061992946,,,
-2.0,71.25711245597495,57.19914862283033,48.69955681307401,70.92237702787996,,,
-1.0,71.24618872410926,57.137319803724985,48.732784650626314,70.77124296347337,,,
0.0,,,66.53094424485607,52.908319536803624,52.93003818687395,67.03453389954652,
1.0,,,66.63023272270189,52.84246620908053,52.99358480666068,67.05522625337733,
2.0,,,66.77719040014662,52.812516646717576,53.05479147176507,67.05138332394966,
3.0,,,66.96278436286583,52.782878391789644,53.11309848159628,67.04386250128532,
4.0,,,67.18245671127569,52.754603057108824,53.18632774517392,67.03311084803715,
5.0,,,67.42972861130917,52.7251166409204,53.283352379113694,67.02344251367565,
6.0,,,67.7000508990304,52.695259364667635,53.41011100366687,67.01696472838081,
7.0,,,68.00509579413409,52.67625881546028,53.58308683547688,67.00357692149898,
8.0,,,66.2315439243624,53.06248000224879,53.367848729386395,64.48850190279852,
9.0,,,66.57791161814028,53.04125174135775,53.60239070189929,64.51560049591164,
10.0,,,66.9293147774078,53.01694429332139,53.86204503148521,64.5566503482175,
11.0,,,66.91898687981083,55.8555797300162,52.15190431512552,64.1693489626335,
12.0,,,62.971293969254404,,62.97129396925435,64.47275356334411,64.47275356334421
13.0,,,63.54375181294253,,63.543751812942524,65.01236913684119,65.01236913684124
14.0,,,64.11914716482181,,64.11914716482178,65.55520416804279,65.55520416804282
15.0,,,64.69746740226216,,64.69746740226209,66.1012581346233,66.10125813462332
16.0,,,65.27868960369273,,65.2786896036927,66.65051603273676,66.65051603273673
17.0,,,65.86278791963704,,65.86278791963697,67.20295857978029,67.20295857978037
18.0,,,66.4497352975747,,66.44973529757469,67.75856461099623,67.75856461099625
19.0,,,67.03950402075392,,67.03950402075391,68.31731182395033,68.31731182395033
20.0,,,67.63206591998954,,67.63206591998957,68.87917706498085,68.87917706498087
21.0,,,68.2273924766011,,68.22739247660111,69.44413646292202,69.44413646292206
22.0,,,68.82545488352989,,68.82545488352994,70.01216550447685,70.01216550447683
23.0,,,69.4262240883866,,69.42622408838675,70.5832390848292,70.58323908482922
24.0,,,70.02967082782756,,70.02967082782757,71.15733154682485,71.15733154682489
25.0,,,70.63576565733597,,70.63576565733597,71.73441671449714,71.73441671449717
26.0,,,71.24447897831138,,71.24447897831138,72.3144679236228,72.31446792362277
27.0,,,71.85578106340688,,71.8557810634069,72.89745805062662,72.89745805062662
28.0,,,72.469642080607,,72.46964208060713,73.48335954050835,73.48335954050842
29.0,,,73.08603211631262,,73.08603211631272,74.0721444341459,74.07214443414594
30.0,,,73.70492119758052,,73.70492119758055,74.66378439515788,74.66378439515788
31.0,,,74.32627931359998,,74.32627931360004,75.2582507364184,75.25825073641838
32.0,,,74.95007643645341,,74.95007643645356,75.85551444626552,75.85551444626546
33.0,,,75.576282541188,,75.57628254118801,76.45554621441354,76.4555462144135
34.0,,,76.2048676252107,,76.20486762521064,77.05831645755947,77.05831645755941
35.0,,,76.8358017270127,,76.8358017270127,77.66379534467058,77.66379534467049
36.0,,,77.4690549442276,,77.46905494422755,78.27195282192528,78.27195282192525
37.0,,,78.10459745102203,,78.1045974510221,78.88275863728416,78.88275863728413
38.0,,,78.74239951482033,,78.74239951482025,79.49618236465876,79.49618236465875
39.0,,,79.38181524380539,,79.38181524380545,80.1121614167892,80.1121614167892
