u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,68.14324515837819,48.18024078936964,68.23682884744633,49.070368421625545,,,,
-7.0,68.16879634558751,48.013620847248326,68.23765867858495,48.79373349384393,,,,
-6.0,68.19579909659649,47.88030433779362,68.24045101997862,48.53504647157202,,,,
-5.0,68.22406336493864,47.7778743377071,68.2468709208258,48.29524553349938,,,,
-4.0,68.25283931309595,47.70260368374202,68.25857659278826,48.07671053449968,,,,
-3.0,68.28019383469092,47.64873279087811,68.27605050864875,47.88364533920722,,,,
-2.0,68.30219356187249,47.6077677164526,68.2962639588132,47.72207985836931,,,,
-1.0,68.31245984757165,47.56858652060442,68.31003030618488,47.59897393164885,,,,
0.0,,,,,47.520156785078434,68.30375185087765,47.520156785078434,68.30375185087765
1.0,,,,,47.56858652060442,68.31245984757166,47.59897393164885,68.31003030618487
2.0,,,,,47.60776771645261,68.30219356187249,47.72207985836931,68.29626395881321
3.0,,,,,47.648732790878114,68.28019383469095,47.88364533920723,68.27605050864877
4.0,,,,,47.702603683742026,68.25283931309593,48.07671053449968,68.25857659278827
5.0,,,,,47.7778743377071,68.22406336493864,48.29524553349938,68.24687092082578
6.0,,,,,47.88030433779361,68.19579909659649,48.535046471572024,68.24045101997862
7.0,,,,,48.01362084724832,68.1687963455875,48.793733493843924,68.23765867858492
8.0,,,,,48.18024078936965,68.14324515837819,49.070368421625545,68.23682884744633
9.0,,,,,48.38181516657494,68.11915372910393,49.365020100380704,68.23669707912944
10.0,,,,,48.61958754554221,68.09654548969068,49.67840756836515,68.23645499286283
11.0,,,,,48.40264188025114,64.7382536001581,50.84624795376938,66.61729460670728
12.0,,,,,62.97129396925435,64.47275356334411,62.971293969254404,64.47275356334421
13.0,,,,,63.543751812942524,65.01236913684119,63.54375181294253,65.01236913684124
14.0,,,,,64.11914716482178,65.55520416804279,64.11914716482181,65.55520416804282
15.0,,,,,64.69746740226209,66.1012581346233,64.69746740226216,66.10125813462332
16.0,,,,,65.2786896036927,66.65051603273676,65.27868960369273,66.65051603273673
17.0,,,,,65.86278791963697,67.20295857978029,65.86278791963704,67.20295857978037
18.0,,,,,66.44973529757469,67.75856461099623,66.4497352975747,67.75856461099625
19.0,,,,,67.03950402075391,68.31731182395033,67.03950402075392,68.31731182395033
20.0,,,,,67.63206591998957,68.87917706498085,67.63206591998954,68.87917706498087
21.0,,,,,68.22739247660111,69.44413646292202,68.2273924766011,69.44413646292206
22.0,,,,,68.82545488352994,70.01216550447685,68.82545488352989,70.01216550447683
23.0,,,,,69.42622408838675,70.5832390848292,69.4262240883866,70.58323908482922
24.0,,,,,70.02967082782757,71.15733154682485,70.02967082782756,71.15733154682489
25.0,,,,,70.63576565733597,71.73441671449714,70.63576565733597,71.73441671449717
26.0,,,,,71.24447897831138,72.3144679236228,71.24447897831138,72.31446792362277
27.0,,,,,71.8557810634069,72.89745805062662,71.85578106340688,72.89745805062662
28.0,,,,,72.46964208060713,73.48335954050835,72.469642080607,73.48335954050842
29.0,,,,,73.08603211631272,74.0721444341459,73.08603211631262,74.07214443414594
30.0,,,,,73.70492119758055,74.66378439515788,73.70492119758052,74.66378439515788
31.0,,,,,74.32627931360004,75.2582507364184,74.32627931359998,75.25825073641838
32.0,,,,,74.95007643645356,75.85551444626552,74.95007643645341,75.85551444626546
33.0,,,,,75.57628254118801,76.45554621441354,75.576282541188,76.4555462144135
34.0,,,,,76.20486762521064,77.05831645755947,76.2048676252107,77.05831645755941
35.0,,,,,76.8358017270127,77.66379534467058,76.8358017270127,77.66379534467049
36.0,,,,,77.46905494422755,78.27195282192528,77.4690549442276,78.27195282192525
37.0,,,,,78.1045974510221,78.88275863728416,78.10459745102203,78.88275863728413
38.0,,,,,78.74239951482025,79.49618236465876,78.74239951482033,79.49618236465875
39.0,,,,,79.38181524380545,80.1121614167892,79.38181524380539,80.1121614167892
