u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-24.44457410801571,-15.955554208118846,-42.95962981067581,55.009028509657256,-17.72568207423905,-10.685268773543303,-43.847407527717735,54.68973553173328,-3.4529914828036485,2.3475073782768545,-41.4542298106758,56.51442850965726,4.395035285488449,8.80204042820331,-42.34200752771773,56.195135531733285,-7.069130128173476
-7.0,-24.657183819388408,-16.247441204507112,-42.994043769655164,54.96795040786232,-17.733176963339634,-10.52263886158557,-43.77096734332612,54.68867052784901,-2.994187929313836,2.6678968960758693,-41.488643769655155,56.47335040786232,3.929818926734969,8.392699238997405,-42.26556734332611,56.194070527849014,-6.758413395449702
-6.0,-24.162864200004297,-15.838632902786365,-43.03127604343563,54.92969509254946,-18.227971027171947,-10.931656828808375,-43.69729834127488,54.690387815677965,-2.4998683099297248,3.0767051977965973,-41.52587604343562,56.43509509254947,3.435024862902619,7.9836812717745955,-42.19189834127487,56.19578781567797,-6.7157625693690495
-5.0,-23.668500891303662,-15.4298078390809,-43.071326294025816,54.894262700293005,-18.7227353370466,-11.340659253187935,-43.62640684828493,54.694893248653294,-2.0055050012290825,3.485530261502074,-41.565926294025815,56.39966270029301,2.940260553027985,7.574678847395057,-42.12100684828492,56.200293248653296,-6.673082127208509
-4.0,-23.17409517541285,-15.020966127968457,-43.114193711273245,54.86165289549717,-19.217468837166138,-11.749646044462962,-43.558298750416064,54.70219223935923,-1.5110992853382823,3.894371972614525,-41.608793711273236,56.367052895497174,2.4455270529084445,7.165692056120004,-42.05289875041606,56.207592239359236,-6.630372664900622
-3.0,-22.67964830949489,-14.612107881357831,-43.1598770133178,54.83186487083537,-19.712170455165257,-12.158617110603672,-43.492979488365016,54.71228975484398,-1.0166524194203144,4.303230219225137,-41.654477013317795,56.33726487083538,1.9508254349092982,6.7567209899793,-41.987579488365014,56.21768975484398,-6.587634765011993
-2.0,-22.18516152671055,-14.20323320858454,-43.20837444745197,54.804897348094606,-20.206839101377597,-12.567572357725645,-43.43045405311882,54.72519031228756,-0.522165636635976,4.712104891998438,-41.702974447451965,56.31029734809461,1.456156788696962,6.347765742857331,-41.92505405311882,56.23059031228756,-6.54486899718081
-1.0,-21.69063603714961,-13.794342216504448,-43.25968379138522,54.78074857942588,-20.70147366808295,-12.97651169000418,-43.37072698197132,54.740897975034684,-0.027640147075026676,5.120995884078512,-41.75428379138522,56.286148579425884,0.9615222219915928,5.938826410578802,-41.86532698197132,56.246297975034686,-6.502075918539603
0.0,-20.506770728974782,-13.123381868820537,-43.31380235491087,54.75941634899512,-20.50677108143325,-13.123381609924353,-43.31380235491087,54.75941634899512,0.47302785240207823,5.542233657941736,-41.80840235491087,56.26481634899512,0.4730278574502855,5.542233662426653,-41.80840235491087,56.26481634899512,-6.3251768787611375
1.0,-20.701473668082983,-12.976511690004184,-43.37072698197132,54.740897975034684,-21.69063603714961,-13.794342216504468,-43.25968379138522,54.78074857942588,0.9615222219915959,5.938826410578806,-41.86532698197132,56.246297975034686,-0.02764014707502604,5.120995884078518,-41.75428379138522,56.286148579425884,-6.502075918539605
