u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-15.0,-38.71821283,-28.65612193,-58.17600636,49.26274121,-22.99488054,-15.31769211,-59.12521278,46.8896761,-0.35247012,4.25652332,-47.54718337,58.44381968,15.36917511,17.5929849,-50.56297809,58.24252247,-7.83508112
-14.0,-38.19288787,-28.21081379,-58.15871102,49.13516416,-23.5206227,-15.76270205,-59.04433563,46.91912823,0.17330991,4.70236238,-47.59987448,58.38762218,14.84398804,17.14862256,-50.41605988,58.200533,-7.79469607
-13.0,-37.66745172,-27.76542227,-58.14476904,49.01082071,-24.04644049,-16.20781082,-58.96677582,46.95201098,0.69916726,5.14824529,-47.65596901,58.33486192,14.31869419,16.70412506,-50.27215235,58.16177637,-7.75432178
-12.0,-37.14191127,-27.31995379,-58.13419087,48.88972929,-24.57232796,-16.65301249,-58.89254607,46.98832937,1.22509462,5.59416517,-47.7154638,58.28554374,13.79329895,16.25949767,-50.13127858,58.12627086,-7.71395893
-11.0,-36.61627348,-26.87441485,-58.12698619,48.7719076,-25.09827908,-17.09830106,-58.82165832,47.02808751,1.75108467,6.04011507,-47.77835485,58.23967155,13.26780782,15.81474575,-49.99346116,58.09403409,-7.67360819
-10.0,-36.09054527,-26.42881198,-58.12316378,48.6573726,-25.62428772,-17.54367044,-58.75412376,47.07128862,2.27713015,6.48608809,-47.84463723,58.19724834,12.74222642,15.3698748,-49.85872217,58.06508298,-7.63327015
-9.0,-35.5647336,-25.98315176,-58.1227316,48.54614047,-26.15034767,-17.98911445,-58.68995276,47.11793506,2.80322378,6.93207727,-47.91430515,58.15827617,12.21656045,14.92489044,-49.72708313,58.03943369,-7.59294533
-8.0,-35.03884543,-25.53744081,-58.12569673,48.43822661,-26.67645265,-18.43462684,-58.62915488,47.16802825,3.32935836,7.3780757,-47.98735193,58.12275619,11.69081576,14.47979839,-49.598565,58.01710169,-7.55263424
-7.0,-34.51288772,-25.09168579,-58.13206537,48.3336456,-27.20259632,-18.88020129,-58.57173885,47.2215687,3.8555267,7.82407645,-48.06377003,58.09068859,11.16499828,14.03460448,-49.47318813,57.99810166,-7.5123373
-6.0,-33.98686744,-24.64589338,-58.14184286,48.23241123,-27.72877223,-19.32583142,-58.51771258,47.27855602,4.38172164,8.27007263,-48.14355104,58.06207264,10.63911405,13.58931466,-49.35097227,57.98244751,-7.47205489
-5.0,-33.46079153,-24.20007029,-58.15503365,48.13453642,-28.25497391,-19.77151078,-58.46708312,47.3389889,4.90793609,8.71605736,-48.2266857,58.03690669,10.11316921,13.14393495,-49.23193654,57.97015235,-7.43178734
-4.0,-32.93466695,-23.75422323,-58.17164128,48.04003328,-28.7811948,-20.21723285,-58.41985666,47.40286511,5.43416299,9.16202379,-48.31316388,58.01518815,9.58717,12.6984715,-49.1160994,57.96122848,-7.39153493
