u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
-15.0,77.91886314,62.20736821,51.80370669,68.15596299
-14.0,77.34597796,62.68183028,52.30223686,67.56468244
-13.0,76.77624298,63.1598218,52.8042143,66.97627741
-12.0,76.20968309,63.64134186,53.30962897,66.39077624
-11.0,75.64632246,64.12638856,53.81846992,65.80820691
-10.0,75.08618459,64.61495906,54.33072531,65.22859698
-9.0,74.52929223,65.10704951,54.84638242,64.65197358
-8.0,73.97566742,65.60265509,55.36542763,64.07836339
-7.0,73.42533139,66.10176999,55.88784649,63.50779261
-6.0,72.87830461,66.60438744,56.41362368,62.94028693
-5.0,72.33460671,67.11049968,56.94274306,62.37587149
-4.0,71.79425651,67.62009796,57.47518766,61.8145709
-3.0,71.25727197,68.1331726,58.01093974,61.25640915
-2.0,70.72367019,68.64971292,58.54998075,60.70140967
-1.0,70.1934674,69.16970731,59.09229138,60.1495952
0.0,69.65620692,69.66786505,59.65095801,59.64819785
1.0,69.13286979,70.19469578,60.19979986,59.10253972
2.0,68.61297498,70.72494171,60.75184918,58.56013175
3.0,68.09653503,71.25858751,61.30708382,58.02099401
4.0,67.58356155,71.79561697,61.86548095,57.4851458
5.0,67.07406517,72.33601298,62.42701714,56.9526057
6.0,66.56805558,72.87975756,62.99166834,56.42339148
7.0,66.06554149,73.42683191,63.5594099,55.89752011
8.0,65.56653063,73.97721636,64.13021664,55.37500777
9.0,65.07102976,74.53089045,64.70406283,54.85586977
10.0,64.57904467,75.08783293,65.28092223,54.3401206
11.0,64.09058015,75.64802177,65.86076812,53.82777387
12.0,63.60564001,76.2114342,66.44357332,53.31884234
13.0,63.12422709,76.77804671,67.02931023,52.81333785
14.0,62.64634326,77.3478351,67.61795083,52.31127138
15.0,62.1719894,77.9207745,68.20946675,51.81265297
16.0,61.70116543,78.49683936,68.80382924,51.31749176
17.0,61.2338703,79.07600355,69.40100923,50.82579598
18.0,60.77010202,79.65824028,70.00097737,50.33757292
19.0,60.30985766,80.24352223,70.60370401,49.85282894
20.0,59.85313333,80.83182152,71.20915927,49.37156948
21.0,59.39992424,81.42310974,71.81731304,48.89379902
22.0,58.95022468,82.01735799,72.42813502,48.41952113
23.0,58.50402804,82.61453692,73.04159473,47.94873843
24.0,58.06132683,83.21461672,73.65766155,47.4814526
25.0,57.62211269,83.81756719,74.27630472,47.01766442
26.0,57.18637641,84.42335773,74.89749341,46.5573737
27.0,56.75410794,85.0319574,75.52119668,46.10057938
28.0,56.32529641,85.64333494,76.14738354,45.64727944
29.0,55.89993016,86.25745876,76.77602299,45.19747098
30.0,55.47799673,86.87429704,77.407084,44.75115021
