nu,u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-6,1.0,5.78257816,9.20435327,-50.26889992,55.96392086,9.01914428,13.18739018,-36.58887485,61.53049955,7.28797816,10.70975327,-48.76349992,57.46932086,10.52454428,14.69279018,-35.08347485,63.03589955,-42.67618738
-5,1.0,5.97630187,9.39807698,-50.0751762,56.15764458,5.31512828,8.89832547,-49.49055215,56.55936097,7.48170187,10.90347698,-48.5697762,57.66304458,10.33082057,14.49906647,-35.27719856,62.84217584,-41.92348738
-4,1.0,5.5447103,10.80702138,-49.88145249,56.35136829,7.70560593,11.29960243,-49.68427586,56.36563726,7.0501103,12.31242138,-48.37605249,57.85676829,9.21100593,12.80500243,-48.17887586,57.87103726,-21.31708278
-3,1.0,8.3542069,12.16862716,-49.68772878,56.545092,-10.55012039,1.64401878,-53.37063614,52.35261453,9.8596069,13.67402716,-48.18232878,58.050492,7.45813501,11.40084648,-48.37259957,57.67731355,-4.45305081
-2,1.0,-13.63335608,4.32498048,-53.31406472,52.46882404,-16.91703338,1.59287056,-53.17691243,52.54633824,6.46562738,12.00043354,-48.37605249,57.85676829,3.18195008,9.26832362,-48.17887586,57.87103726,-6.02024276
-1,1.0,0.69186955,2.85158661,-53.12034101,52.66254776,-15.35102501,-11.34711247,-57.53934611,47.99109973,-21.6918457,7.69906617,-48.18232878,58.050492,8.13669593,11.94956772,-48.37259957,57.67731355,-5.32762146
0,1.0,-24.16139994,-16.57615905,-57.34332501,48.68179246,-25.55017164,-17.08048972,-57.26393922,48.82432286,3.80214653,7.88249924,-49.79755978,56.88388322,2.41337483,7.37816856,-49.61013646,56.91279313,-7.08139211
1,1.0,-20.18786267,-9.07295208,-55.07640766,50.49567988,-14.66941413,-4.98225137,-53.62208963,51.33616234,2.64185242,10.67719497,-51.07752312,54.78780176,-5.00772585,6.3354274,-49.72305897,55.47782893,-1.17019947
2,1.0,-16.78206247,-7.26835484,-53.70674843,51.82879595,-15.39146723,-4.3082531,-55.31098393,50.1816275,-8.41121567,4.76736029,-49.94944488,55.87878378,-7.02062043,7.72746203,-52.34247792,53.31534856,0.2295536
3,1.0,-19.38826151,-7.84087693,-57.21880988,48.22727975,-8.5262097,-1.58983393,-57.53934611,47.99109973,-5.91248411,3.80191715,-51.61494101,54.16794776,-16.21024854,-10.74841965,-56.03394611,49.49649973,1.10604161
4,1.0,-21.5534098,-14.47525685,-57.41253359,48.03355604,-20.73187377,-12.95786312,-57.34562239,48.18482344,-20.0480098,-12.96985685,-55.90713359,49.53895604,-19.22647377,-11.45246312,-55.84022239,49.69022344,18.29054646
5,1.0,-28.93128506,-21.01315647,-62.38695424,35.43289051,-25.78716949,-17.07340397,-57.15189868,48.37854716,-23.62045723,-15.06809067,-56.1008573,49.34523233,-24.28176949,-15.56800397,-55.64649868,49.88394716,41.90571883
6,1.0,-29.12500877,-21.20688018,-62.58067795,35.23916679,-25.59344578,-16.87968026,-56.95817497,48.57227087,-27.61960877,-19.70148018,-61.07527795,36.74456679,-24.08804578,-15.37428026,-55.45277497,50.07767087,42.65841883
