nu,u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup,LL1_Kp_Sup_to_LL2_Kp_Sup
-6,1.0,59.47325319,59.47325319,,,,,,
-5,1.0,59.47325319,59.47325319,58.38887761,,,,,
-4,1.0,60.68847388,60.68847388,60.98387829,60.98387829,,,,
-3,1.0,61.85635594,61.85635594,55.01465492,59.77344605,,,,
-2,1.0,57.6390452,60.37648603,54.76978299,57.44719948,,,,
-1,1.0,55.97192762,55.88139495,,60.32216729,59.33821221,,,
0,1.0,,57.68005902,,56.98830502,65.90481258,65.25795151,,
1,1.0,,61.75471808,,56.05848638,56.31841371,59.56863196,,
2,1.0,,54.71680517,,60.06993995,54.4898806,59.09715079,,
3,1.0,,55.41685816,,,49.58093366,56.06815669,60.24491938,
4,1.0,,,,,61.14268657,62.50881289,61.14268657,62.50881289
5,1.0,,,,,65.45195113,,65.45195113,64.413323
6,1.0,,,,,65.45195113,,65.45195113,
