nu,u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-6,1.0,58.83989267,58.83989267,,,,,,
-5,1.0,59.08254948,59.08254948,57.96153645,,,,,
-4,1.0,59.03402726,59.03402726,58.07072015,58.07072015,,,,
-3,1.0,59.03321678,59.03321678,51.18563658,57.75560023,,,,
-2,1.0,52.92595546,58.05233485,51.82955762,56.91301338,,,,
-1,1.0,52.86305343,59.48985847,,54.42887401,,58.86578274,,
0,1.0,,59.63809793,,58.62013156,68.54733419,69.33595152,,
1,1.0,,52.01983206,,48.55440113,58.15385823,59.00103964,,
2,1.0,,51.78048764,,51.29728819,67.63682404,67.9146266,,
3,1.0,,52.22081047,,,63.43239088,64.43839269,,64.43839269
4,1.0,,,,,64.65345594,64.64776657,64.65345594,64.64776657
5,1.0,,,,,,64.89985168,63.51669909,64.89985168
6,1.0,,,,,,65.11550136,,65.11550136
