nu,u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-6,1.0,5.18922952,8.60419494,-48.81765415,56.22964974,8.80849959,12.94491277,-37.00732615,61.0023718,6.69462952,10.10959494,-47.31225415,57.73504974,10.31389959,14.45031277,-35.50192615,62.5077718,-42.15979015
-5,1.0,6.95730074,10.29298087,-48.00339565,56.77779086,5.16930772,8.79486351,-47.88085753,57.0294655,8.46270074,11.79838087,-46.49799565,58.28319086,9.65033532,13.77182905,-35.5644521,62.59765177,-41.03122387
-4,1.0,5.85959547,9.45200088,-48.39773154,56.83788577,4.81573326,8.31248379,-48.33072322,56.27174507,7.36499547,10.95740088,-46.89233154,58.34328577,6.32113326,9.81788379,-46.82532322,57.77714507,-21.00479498
-3,1.0,4.39797607,8.59301416,-48.59274744,56.47095619,-12.80493064,-0.5027616,-51.79510576,52.41801581,5.90337607,10.09841416,-47.08734744,57.97635619,6.30820486,9.8554739,-47.3320073,57.16562932,-6.65384612
-2,1.0,-18.16751115,0.22824192,-52.23110424,52.72044372,-17.43272382,0.12352369,-50.97084325,53.01613084,2.58271961,8.36883551,-48.70357101,56.53874819,3.31764849,8.2642583,-47.40495872,56.79359404,-8.65460007
-1,1.0,-0.70058983,5.90578602,-49.37550249,55.54695989,-21.3691015,-14.01766806,-54.82837646,48.73158283,-16.36277411,5.77852796,-48.32166204,56.49258285,6.59716819,9.59160464,-46.81897617,57.1657584,-7.35912895
0,1.0,-26.84606352,-19.3230088,-58.32477064,47.430829,-26.57626224,-17.97143511,-55.56243756,48.78957126,6.66693562,9.54922037,-50.01368083,56.43418573,6.93688669,10.90096883,-47.13111383,57.6664345,-5.65224975
1,1.0,-25.29773483,-3.93732503,-52.36448384,52.55393465,-21.11752479,-16.04176331,-56.27890364,48.72545432,-20.18233521,2.9830744,-49.42712728,55.65568372,-3.53899136,2.32467351,-49.98063241,55.26556874,-3.73815819
2,1.0,-27.08847672,-17.38317481,-55.06313437,49.38030522,-26.40655747,-18.45577329,-55.35665008,49.52121158,-17.15207373,0.65898789,-50.10637581,54.60456886,-16.59852384,-0.3032131,-50.33840421,54.68506113,-8.45086847
3,1.0,-20.99028089,-12.74683531,-54.89329039,49.60203636,-23.05462303,-14.20797315,-54.91577909,48.08670772,-10.63173263,2.00961831,-49.90243333,54.8578709,-21.54922303,-12.70257315,-53.41037909,49.59210772,-4.31105716
4,1.0,-23.72159012,-14.04962329,-56.36089002,47.99735239,-21.82172123,-13.42652147,-55.24859595,48.91757161,-22.21619012,-12.54422329,-54.85549002,49.50275239,-20.31632123,-11.92112147,-53.74319595,50.42297161,18.03811546
5,1.0,-25.51207163,-17.74324884,-59.87280274,36.90413189,-24.05714764,-15.07124431,-55.85126233,48.783157,-20.78765909,-12.4823342,-54.30131539,48.97444589,-22.55174764,-13.56584431,-54.34586233,50.288557,42.84364445
6,1.0,-23.95542441,-15.67288699,-58.94143538,38.63859797,-26.52665581,-18.48131571,-61.07659981,40.50346157,-20.5993142,-12.00832508,-55.03572672,46.40920336,-23.20203099,-14.85348676,-57.16766393,48.30566453,43.45633247
