nu,u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-6,1.0,5.41323462,9.67677255,-47.23331395,57.17089192,8.22501266,12.48827643,-37.0866001,60.34480931,6.91863462,11.18217255,-45.72791395,58.67629192,9.73041266,13.99367643,-35.5812001,61.85020931,-41.40725703
-5,1.0,5.03721911,9.32106038,-47.03106232,56.88021194,5.52023475,9.19798706,-47.11467207,56.89953444,6.54261911,10.82646038,-45.52566232,58.38561194,9.46659767,13.55117713,-36.69526003,61.75313734,-41.11046118
-4,1.0,5.74916993,10.47830171,-47.29837125,55.37188896,6.00196846,9.88831338,-47.86592852,56.26858194,7.25456993,11.98370171,-45.79297125,56.87728896,7.50736846,11.39371338,-46.36052852,57.77398194,-20.02190066
-3,1.0,1.07115003,7.93471958,-49.25799235,56.46364865,-7.42251338,2.59556165,-49.91348968,53.65806761,2.57655003,9.44011958,-47.75259235,57.96904865,4.39717124,9.25810397,-45.98517962,57.82844591,-3.17568168
-2,1.0,-11.73518784,2.4505367,-51.5352406,51.33198703,-12.4330347,4.22088148,-50.67517378,52.36050331,5.75614594,8.15269565,-47.61572217,55.57909578,5.05829908,9.92304043,-46.71432251,56.55993172,-4.64232557
-1,1.0,-9.12674525,-4.24879239,-49.84530275,54.9736937,3.61242917,8.90395376,-49.00186529,54.10482652,6.71921463,11.8205067,-49.35174682,55.30159606,-20.15876756,4.45316753,-45.98403476,57.24934438,-0.31818161
0,1.0,-17.50024137,-13.89280654,-49.90889196,53.61656824,-16.18821162,-8.95568674,-53.86727723,50.25709617,6.16275452,7.02253156,-50.75754507,52.58960493,7.47478427,11.95965136,-46.67023148,57.80086046,-1.39646611
1,1.0,-12.07247678,-0.81331325,-50.5557018,51.36240186,-4.38725353,5.72080664,-54.54738063,48.03471797,6.84587466,11.01081379,-48.23204078,53.7800012,-3.70616646,9.27112265,-49.40573048,53.32206897,6.28334065
2,1.0,-17.39341744,-6.25378225,-53.12341252,48.98529869,-8.53412101,4.05323327,-57.53526857,49.21930261,-13.00424218,-0.84690237,-48.77866147,53.52378827,-4.14494574,9.46011315,-53.14188608,53.711074,1.60316545
3,1.0,-2.85286572,0.65964077,-53.22757344,50.15874444,-5.9858626,4.16139435,-56.0195731,48.48514588,2.404814,8.29985086,-48.84959849,54.72961582,-5.75334335,11.47277521,-54.5141731,49.99054588,9.88631303
4,1.0,-20.8142472,-17.27963139,-53.33340201,49.62978517,-21.26884391,-10.2048484,-56.11280357,49.3221375,-19.3088472,-15.77423139,-51.82800201,51.13518517,-19.76344391,-8.6994484,-54.60740357,50.8275375,20.31134455
5,1.0,-15.77398629,-8.74557372,-53.36778386,50.01152038,-29.08730007,-22.93749998,-59.02292364,39.42970712,-13.48669924,-6.32797216,-50.91029583,53.97368224,-25.76267526,-19.30967104,-55.11575314,47.23367546,43.33169129
6,1.0,-29.55566185,-22.43225719,-63.26522349,35.38464119,-22.82778129,-12.95802835,-53.29516164,49.48321582,-28.05026185,-20.92685719,-61.75982349,36.89004119,-21.32238129,-11.45262835,-51.78976164,50.98861582,43.18662851
