nu,u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Km_Sup_to_LL2_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup
-6,1.0,57.8555881,57.8555881,,,,,,
-5,1.0,56.62293236,56.62293236,55.67456488,,,,,
-4,1.0,55.3558959,55.3558959,55.06697665,55.06697665,,,,
-3,1.0,58.10264361,58.10264361,50.49137936,55.37424889,,,,
-2,1.0,54.61002391,58.54048581,48.58150818,52.48018147,,,,
-1,1.0,55.64031693,58.03293841,,60.55969933,,53.57683815,,
0,1.0,,55.04488975,,56.32616591,,64.24071111,67.63193964,
1,1.0,48.92290004,51.19892446,,51.05639714,,60.2249335,,
2,1.0,,50.86951263,,49.73870372,,65.47250766,64.13526268,
3,1.0,,54.4266475,,,62.86016235,62.86016235,58.20154758,
4,1.0,,,,,62.99858562,62.99858562,58.9468982,58.9468982
5,1.0,,,,,61.7908396,61.7908396,,62.01333576
6,1.0,,,,,62.5819871,62.5819871,,
