nu,u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-6,2.0,,,60.01554046692676,60.01554046692676,,,,
-5,2.0,57.84723568550693,,60.015540466926765,60.01554046692676,,,,
-4,2.0,57.84723568550693,57.84723568550693,60.015540466926765,60.015540466926765,,,,
-3,2.0,50.97574658661098,57.84723568550693,60.015540466926765,60.015540466926765,,,,
-2,2.0,50.97574658661098,57.84723568550693,53.02460843419899,60.015540466926765,,,,
-1,2.0,50.97574658661098,50.975746586610974,53.02460843419898,60.015540466926765,,,,
0,2.0,53.12704073672542,53.12704073672544,53.598501499234985,53.59850149923497,,,,
1,2.0,,50.975746586610974,53.02460843419898,53.024608434198974,,65.96850971061028,,
2,2.0,,50.97574658661098,,53.02460843419899,63.89185475903248,65.96850971061028,,
3,2.0,,,,53.024608434198974,63.89185475903248,65.96850971061028,,65.96850971061028
4,2.0,,,,,63.89185475903248,65.96850971061028,63.89185475903248,65.96850971061028
5,2.0,,,,,55.99820176832199,65.96850971061028,63.89185475903248,65.96850971061028
6,2.0,,,,,55.998201768322,65.96850971061028,55.998201768322005,65.96850971061028
