u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-10.0,70.28230763977542,59.903108860541415,70.28230763977542,57.27779615060341,,
-9.0,69.7315972941313,60.38959472601033,69.73159729413132,56.7350424802708,,
-8.0,69.18413067637545,60.8795519683226,69.18413067637545,56.19542238277994,,
-7.0,68.63992771241038,61.372975704932784,68.63992771241038,55.65895633210985,,
-6.0,68.09900755146174,61.86986010641867,68.09900755146174,55.12566417683055,,
-5.0,67.56138854724654,62.370198398123975,67.56138854724654,54.59556511913131,,
-4.0,67.02708824007597,62.873982863052255,67.02708824007597,54.06867769443863,,
-3.0,66.49612333994006,63.381204846015386,66.49612333994007,53.545019751673486,,
-2.0,65.96850971061032,63.89185475903257,65.96850971061032,53.024608434198974,,
-1.0,65.44426235480178,64.40592208797257,65.4442623548018,52.50746016150412,,
-0.0,64.92339540042673,64.92339540042684,64.92339540042673,51.99359061167515,,
1.0,64.40592208797257,65.44426235480182,,,52.50746016150415,65.44426235480184
2.0,63.89185475903256,65.96850971061023,,,53.02460843419897,65.96850971061023
3.0,63.381204846015365,66.49612333994008,,,53.54501975167354,66.49612333994008
4.0,62.87398286305223,67.02708824007601,,,54.0686776944386,67.02708824007601
5.0,62.37019839812413,67.56138854724651,,,54.595565119131265,67.56138854724651
6.0,61.86986010641869,68.09900755146177,,,55.12566417683061,68.09900755146177
7.0,61.37297570493277,68.63992771241028,,,55.65895633210985,68.6399277124103
8.0,60.879551968322694,69.18413067637539,,,56.19542238277996,69.1841306763754
9.0,60.38959472601032,69.7315972941313,,,56.73504248027075,69.73159729413132
10.0,59.90310886054141,70.28230763977541,,,57.27779615060344,70.28230763977541
11.0,59.420098307193,70.83624103045071,,,57.82366231589768,70.83624103045072
