u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-10.0,-30.306523453214094,-20.866923180467285,-56.827174347946475,49.415384459308136,-24.682876650418525,-17.538361877858517,-62.99808659180593,34.97891298474049,-28.801123453214096,-19.361523180467284,-55.321774347946466,50.92078445930814,-23.17747665041852,-16.032961877858515,-61.49268659180593,36.4843129847405,42.94984872202431
-9.0,-29.782624648545113,-20.42349463444302,-56.82854222199108,49.30810265968829,-25.176459052780874,-17.94591541420336,-62.940516191174815,34.99659939715993,-28.27722464854512,-18.91809463444302,-55.32314222199108,50.8135026596883,-23.671059052780873,-16.440515414203357,-61.435116191174814,36.501999397159935,42.90505102842411
-8.0,-29.25865274719254,-19.98001933110482,-56.833272374655536,49.204111345270626,-25.670039556359708,-18.3534825788957,-62.88573633733023,35.01708694099497,-27.753252747192544,-18.47461933110482,-55.32787237465553,50.70951134527063,-24.164639556359706,-16.848082578895696,-61.38033633733023,36.52248694099497,42.8632991431328
-7.0,-28.734614364273874,-19.536503520954113,-56.84137059838794,49.10342419145626,-26.163617715609718,-18.76106394535409,-62.83375085902112,35.04037908805365,-27.229214364273876,-18.03110352095411,-55.33597059838794,50.608824191456264,-24.658217715609716,-17.255663945354083,-61.32835085902113,36.54577908805365,42.82460163975496
-6.0,-28.2105161098634,-19.09295347836934,-56.85284183114854,49.00605407309239,-26.657193056870607,-19.16866006957696,-62.784563140691084,35.06647886661815,-26.7051161098634,-17.587553478369344,-55.34744183114854,50.511454073092395,-25.151793056870613,-17.663260069576964,-61.279163140691075,36.57187886661816,42.788966469855275
-5.0,-27.686364585314717,-18.649375496174553,-56.86769015101734,48.91201305107198,-27.150765076959775,-19.576271489206704,-62.738176119442016,35.09538885819575,-26.180964585314722,-17.14397549617455,-55.36229015101734,50.41741305107198,-25.645365076959777,-18.070871489206706,-61.23277611944199,36.600788858195756,42.75640095463387
-4.0,-27.16216637949771,-18.205775880148163,-56.8859187718947,48.8213123599278,-27.6443332417634,-19.983898722613173,-62.69459228234206,35.127111194608865,-25.65676637949771,-16.70037588014816,-55.3805187718947,50.326712359927804,-26.1389332417634,-18.478498722613175,-61.18919228234206,36.63251119460887,42.726911777268334
-3.0,-26.637928064962505,-17.76216094348419,-56.90753004030528,48.73396239645588,-28.137896984829997,-20.39154226799933,-62.65381366408276,35.1616475554335,-25.132528064962507,-16.25676094348419,-55.40213004030528,50.23936239645588,-26.632496984830002,-18.88614226799933,-61.14841366408275,36.6670475554335,42.70050497594469
-2.0,-26.113656194042274,-17.318537001219102,-56.93252543331476,48.64997270939122,-28.6314557059651,-20.79920260253117,-62.61584184499117,35.198999165790916,-24.608256194042276,-15.813137001219099,-55.42712543331475,50.15537270939122,-27.1260557059651,-19.29380260253117,-61.110441844991165,36.704399165790925,42.67718593759108
-1.0,-25.589357294906247,-16.874910364634705,-56.96090555756303,48.56935199016708,-29.125008769828828,-21.206880181494412,-62.58067794940082,35.2391667944977,-24.08395729490625,-15.369510364634703,-55.45550555756303,50.07475199016708,-27.61960876982883,-19.70148018149441,-61.07527794940082,36.7445667944977,42.65695939233239
-0.0,-25.065037867576216,-16.431287335652097,-56.99267014941683,48.49210806477462,-29.618555504536367,-21.61457543747812,-62.54832264438613,35.282150752578744,-23.559637867576217,-14.925887335652098,-55.48727014941682,49.99750806477463,-28.113155504536373,-20.109175437478118,-61.04292264438612,36.787550752578746,42.63982940867668
1.0,-29.125008769828856,-21.2068801814944,-62.58067794940084,35.2391667944977,-25.58935729490623,-16.874910364634772,-56.96090555756305,48.56935199016706,-27.619608769828858,-19.7014801814944,-61.07527794940085,36.7445667944977,-24.08395729490623,-15.369510364634774,-55.45550555756304,50.07475199016706,42.65695939233238
2.0,-28.63145570596512,-20.799202602531196,-62.61584184499118,35.19899916579087,-26.11365619404228,-17.318537001219067,-56.93252543331476,48.64997270939117,-27.126055705965122,-19.293802602531194,-61.11044184499118,36.70439916579088,-24.608256194042283,-15.813137001219072,-55.42712543331475,50.15537270939117,42.67718593759103
3.0,-28.137896984830046,-20.39154226799937,-62.65381366408283,35.16164755543345,-26.637928064962466,-17.762160943484176,-56.90753004030527,48.73396239645591,-26.63249698483005,-18.886142267999368,-61.14841366408283,36.66704755543345,-25.13252806496247,-16.256760943484174,-55.402130040305266,50.23936239645591,42.70050497594468
4.0,-27.644333241763366,-19.983898722613194,-62.69459228234207,35.127111194608815,-27.16216637949766,-18.205775880148153,-56.88591877189474,48.82131235992785,-26.138933241763368,-18.478498722613196,-61.18919228234207,36.632511194608824,-25.656766379497665,-16.70037588014815,-55.380518771894735,50.32671235992785,42.72691177726834
5.0,-27.150765076959807,-19.5762714892068,-62.738176119442016,35.09538885819582,-27.686364585314745,-18.64937549617455,-56.86769015101733,48.912013051071966,-25.64536507695981,-18.0708714892068,-61.232776119442036,36.60078885819582,-26.18096458531475,-17.143975496174548,-55.362290151017326,50.41741305107197,42.75640095463389
6.0,-26.65719305687062,-19.168660069576923,-62.784563140691084,35.06647886661821,-28.210516109863388,-19.092953478369306,-56.852841831148524,49.006054073092464,-25.151793056870623,-17.66326006957692,-61.27916314069108,36.57187886661821,-26.70511610986339,-17.587553478369305,-55.34744183114852,50.511454073092466,42.78896646985534
7.0,-26.16361771560971,-18.76106394535409,-62.833750859021094,35.04037908805364,-28.734614364273806,-19.536503520954046,-56.84137059838796,49.10342419145624,-24.658217715609712,-17.255663945354087,-61.32835085902109,36.54577908805364,-27.229214364273812,-18.03110352095405,-55.33597059838795,50.60882419145624,42.824601639754945
8.0,-25.67003955635973,-18.35348257889569,-62.885736337330215,35.017086940995064,-29.258652747192485,-19.98001933110477,-56.833272374655536,49.204111345270626,-24.164639556359727,-16.84808257889569,-61.38033633733025,36.522486940995066,-27.753252747192487,-18.47461933110477,-55.32787237465553,50.70951134527063,42.86329914313285
9.0,-25.176459052780885,-17.94591541420342,-62.940516191174815,34.99659939715986,-29.78262464854511,-20.423494634443003,-56.8285422219911,49.30810265968831,-23.671059052780883,-16.440515414203418,-61.435116191174814,36.50199939715987,-28.277224648545115,-18.918094634443,-55.3231422219911,50.81350265968831,42.90505102842409
10.0,-24.682876650418525,-17.53836187785849,-62.998086591805944,34.978912984740504,-30.306523453214105,-20.866923180467296,-56.82717434794648,49.41538445930812,-23.177476650418527,-16.032961877858494,-61.49268659180594,36.48431298474051,-28.801123453214107,-19.361523180467294,-55.32177434794648,50.92078445930812,42.94984872202431
11.0,-24.189292768110235,-17.13082137997642,-63.05844326954302,34.96402379198733,-30.830342544619075,-21.31029874791347,-56.829162112056316,49.52594228253724,-22.683892768110233,-15.62542137997642,-61.55304326954303,36.46942379198733,-29.324942544619077,-19.804898747913477,-55.323762112056315,51.031342282537246,42.997683037262284
