u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-10.0,70.28230763977542,70.28230763977542,,
-9.0,69.7315972941313,69.73159729413132,,
-8.0,69.18413067637545,69.18413067637545,,
-7.0,68.63992771241038,68.63992771241038,,
-6.0,68.09900755146174,68.09900755146174,,
-5.0,67.56138854724654,67.56138854724654,,
-4.0,67.02708824007597,67.02708824007597,,
-3.0,66.49612333994007,66.49612333994007,,
-2.0,65.96850971061032,65.96850971061032,,
-1.0,65.44426235480178,65.44426235480178,,
-0.0,64.92339540042671,64.92339540042673,,
1.0,,,65.44426235480182,65.44426235480184
2.0,,,65.96850971061023,65.96850971061025
3.0,,,66.49612333994008,66.49612333994008
4.0,,,67.02708824007601,67.02708824007601
5.0,,,67.56138854724651,67.56138854724651
6.0,,,68.09900755146177,68.09900755146177
7.0,,,68.63992771241028,68.6399277124103
8.0,,,69.18413067637539,69.18413067637539
9.0,,,69.73159729413132,69.73159729413132
10.0,,,70.28230763977541,70.28230763977541
11.0,,,70.83624103045071,70.83624103045072
