u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup
-10.0,64.50258415072486,64.50258415072486,,
-9.0,63.93102879338538,63.93102879338537,,
-8.0,63.36247470468916,63.36247470468916,,
-7.0,62.79694689364648,62.796946893646464,,
-6.0,62.23446986202312,62.23446986202312,,
-5.0,61.67506758015694,61.67506758015694,,
-4.0,61.118763463106006,61.118763463106,,
-3.0,60.5655803471823,60.5655803471823,,
-2.0,60.01554046692675,60.01554046692675,,
-1.0,59.46866543257817,59.46866543257816,,
-0.0,58.9249762080932,58.92497620809319,,
1.0,,,59.46866543257819,59.46866543257819
2.0,,,60.01554046692676,60.01554046692675
3.0,,,60.56558034718235,60.56558034718233
4.0,,,61.11876346310598,61.11876346310598
5.0,,,61.675067580156906,61.675067580156906
6.0,,,62.23446986202317,62.23446986202316
7.0,,,62.79694689364644,62.796946893646435
8.0,,,63.36247470468917,63.36247470468916
9.0,,,63.93102879338532,63.93102879338532
10.0,,,64.50258415072489,64.50258415072489
11.0,,,65.07711528491217,65.07711528491215
