u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup
-10.0,53.66741281904118,64.50258415072487,64.50258415072486,
-9.0,54.17824746836335,63.93102879338537,63.93102879338537,
-8.0,54.69243768104086,63.36247470468916,63.362474704689156,
-7.0,55.20997000773951,62.796946893646464,62.79694689364646,
-6.0,55.73083017426493,62.23446986202312,62.23446986202312,
-5.0,56.25500309536375,61.67506758015695,61.67506758015694,
-4.0,56.78247288953565,61.118763463106,61.118763463106,
-3.0,57.313222894818296,60.56558034718229,60.56558034718229,
-2.0,57.847235685506874,60.01554046692676,60.01554046692675,
-1.0,58.384493089766565,59.46866543257817,59.46866543257817,
-0.0,58.92497620809324,58.92497620809319,58.92497620809319,
1.0,59.4686654325782,58.38449308976651,,59.46866543257819
2.0,60.015540466926765,57.84723568550691,,60.01554046692675
3.0,60.56558034718234,57.31322289481831,,60.56558034718234
4.0,61.11876346310598,56.78247288953567,,61.11876346310598
5.0,61.6750675801569,56.25500309536375,,61.67506758015689
6.0,62.23446986202317,55.73083017426495,,62.23446986202316
7.0,62.79694689364644,55.209970007739585,,62.79694689364644
8.0,63.36247470468918,54.6924376810409,,63.36247470468916
9.0,63.93102879338532,54.178247468363395,,63.93102879338532
10.0,64.50258415072489,53.66741281904119,,64.50258415072489
11.0,65.07711528491214,53.15994634479128,,65.07711528491214
