u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
-10.0,47.038113266018726,64.50258415072487,53.667412819041175,64.50258415072486
-9.0,47.51850715289972,63.93102879338537,54.178247468363345,63.93102879338537
-8.0,48.00229255428857,63.362474704689156,54.69243768104084,63.36247470468915
-7.0,48.48946196834146,62.79694689364648,55.209970007739514,62.796946893646464
-6.0,48.98000702844171,62.23446986202312,55.73083017426493,62.23446986202312
-5.0,49.473918510795905,61.67506758015695,56.25500309536375,61.67506758015695
-4.0,49.971186343153946,61.118763463106006,56.78247288953563,61.118763463106
-3.0,50.471799614631514,60.5655803471823,57.313222894818296,60.56558034718229
-2.0,50.97574658661094,60.01554046692676,57.847235685506874,60.01554046692675
-1.0,51.48301470469399,59.46866543257817,58.38449308976656,59.46866543257816
-0.0,51.99359061167521,58.924976208093184,58.92497620809324,58.924976208093184
1.0,59.4686654325782,51.48301470469393,59.46866543257819,58.38449308976651
2.0,60.01554046692675,50.97574658661092,60.01554046692675,57.8472356855069
3.0,60.56558034718233,50.4717996146315,60.565580347182326,57.313222894818296
4.0,61.11876346310598,49.97118634315399,61.11876346310597,56.782472889535654
5.0,61.675067580156906,49.4739185107959,61.675067580156906,56.25500309536375
6.0,62.23446986202316,48.98000702844172,62.23446986202316,55.73083017426495
7.0,62.79694689364647,48.48946196834153,62.796946893646464,55.209970007739585
8.0,63.36247470468918,48.00229255428862,63.36247470468916,54.692437681040886
9.0,63.93102879338532,47.51850715289975,63.931028793385316,54.17824746836339
10.0,64.5025841507249,47.03811326601874,64.5025841507249,53.66741281904119
11.0,65.07711528491217,46.56111752426207,65.07711528491217,53.15994634479128
