u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-10.0,-20.298153289713007,-5.687821877345656,-52.72593514336438,53.06222816376221,-9.813057845447641,3.1832803656832693,-54.094515784920155,52.28728879154668,1.906334614429449,6.214134510591372,-47.45327830844981,58.10492875949511,12.38962749004217,15.08313375685888,-49.419450393865986,57.9598559900852,-7.750439861396648
-9.0,-19.774059872506516,-5.244166283360955,-52.76267343626066,52.991333233132664,-10.337107451005696,2.740181758943478,-53.994860721327335,52.293938142384434,2.4304745493981885,6.6578443752986916,-47.52040309306466,58.0654525967821,11.865798379290268,14.6402923940596,-49.29073639932577,57.93529671296814,-7.790636867183325
-8.0,-19.249909661949836,-4.800482952617963,-52.802775506906535,52.92380515816086,-10.861215683285032,2.2969989107672695,-53.89842347201267,52.30393865904013,2.9546566154360425,7.101564870769717,-47.59087281027114,58.02938922551139,11.34189793839322,14.197351969162726,-49.16512273552644,57.914021624131266,-7.830849317951497
-7.0,-18.72570944226333,-4.356778332904779,-52.84624030124624,52.85965053093414,-11.38537668103511,1.85373756605885,-53.805218766051006,52.317298561837504,3.4788740081818648,7.5452895257187755,-47.664680482020735,57.99673893661246,10.817931804182043,13.754317965249685,-49.04262892839677,57.89604489058237,-7.871077506969945
-6.0,-18.201465975549922,-3.9130588759665836,-52.89306590440831,52.79887507503056,-11.909584498377367,1.4104035530744339,-53.715260623756116,52.33402524265976,4.003119961395963,7.98901188357444,-47.741818290690475,57.96750111977898,10.293905709479713,13.31119596201185,-48.92327390001126,57.8813799224338,-7.911321687171975
-5.0,-17.67718599775649,-3.4693310316529185,-52.94324954244882,52.741483639364155,-12.433833108170358,0.9670027787902673,-53.62856234034104,52.35412525412627,4.527387750993038,8.432725508325685,-47.82227758703805,57.94167426407182,9.76982548026116,12.867991631731197,-48.80707594842575,57.87003935638386,-7.951582069911638
-4.0,-17.15287621459335,-3.025601242056041,-52.99678758520998,52.68748019317667,-12.958116405494541,0.5235412241098548,-53.54513647032877,52.377604299781936,5.051670699075143,8.876423990328023,-47.90604889920762,57.91925595971898,9.245697032670927,12.424710735073731,-48.69405272803227,57.86203504003156,-7.991858823775291
-3.0,-16.62854329742574,-2.5818759356542564,-53.05367555028577,52.636867822192315,-13.48242821125067,0.08002493891930271,-53.464994812754185,52.40446722533194,5.575962177950836,9.320100952055904,-47.993121942762386,57.900242901110644,8.721526369902339,11.981359116701972,-48.58422123048032,57.85737801707014,-8.032152073452464
-2.0,-16.104193879150298,-2.1381615214747574,-53.113908108085695,52.5896487259399,-14.00676227586035,-0.36353996299949976,-53.38814839719848,52.43471801094874,6.100255614128139,9.763750053787577,-48.083485631719306,57.88463089097544,8.197319578947457,11.537942700713767,-48.477597766212995,57.85607851339998,-8.072461898667553
-1.0,-15.57983455006904,-1.6944643832875905,-53.17747908798159,52.54582421625336,-14.531112283059683,-0.8071473091875614,-53.31460747069168,52.46835976467555,6.624544492269385,10.207364999211398,-48.17712809055516,57.872414845731356,7.673082827224932,11.094467485915315,-48.37419794666286,57.85814592419939,-8.112788333173636
-0.0,-15.055471853774716,-1.2507908738466447,-53.244381485521856,52.50539471694803,-15.055471853774755,-1.2507908738466806,-53.244381485521835,52.50539471694812,7.148822359094976,10.65093954093882,-48.27403666715441,57.86358880198995,7.148822359094934,10.650939540938781,-48.2740366671544,57.86358880199002,-8.153131363810697
1.0,-14.531112283059704,-0.8071473091875493,-53.314607470691705,52.468359764675554,-15.57983455006902,-1.6944643832876642,-53.177479087981595,52.54582421625334,7.673082827224905,11.094467485915324,-48.37419794666287,57.8581459241994,6.624544492269406,10.207364999211325,-48.177128090555186,57.87241484573134,-8.112788333173684
2.0,-14.006762275860371,-0.3635399629995225,-53.38814839719849,52.434718010948714,-16.10419387915031,-2.138161521474728,-53.113908108085646,52.58964872593985,8.197319578947432,11.537942700713746,-48.477597766213016,57.85607851339994,6.100255614128133,9.763750053787607,-48.08348563171929,57.884630890975394,-8.07246189866755
