u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown
-10.0,70.28230763977542,57.27779615060341,47.038113266018726,57.27779615060341,,
-9.0,69.7315972941313,56.735042480270806,47.518507152899716,56.7350424802708,,
-8.0,69.18413067637545,56.19542238277994,48.00229255428857,56.19542238277994,,
-7.0,68.63992771241038,55.65895633210985,48.48946196834145,55.65895633210985,,
-6.0,68.09900755146174,55.125664176830554,48.98000702844171,55.12566417683055,,
-5.0,67.56138854724654,54.59556511913131,49.473918510795905,54.59556511913131,,
-4.0,67.02708824007597,54.06867769443863,49.971186343153946,54.06867769443863,,
-3.0,66.49612333994006,53.545019751673486,50.471799614631514,53.545019751673486,,
-2.0,65.96850971061032,53.02460843419898,50.97574658661093,53.024608434198974,,
-1.0,65.44426235480178,52.50746016150412,51.48301470469399,52.50746016150412,,
-0.0,64.92339540042673,51.99359061167515,51.99359061167521,51.99359061167515,,
1.0,,,52.50746016150415,51.48301470469393,52.507460161504156,65.44426235480182
2.0,,,53.02460843419897,50.97574658661091,53.02460843419897,65.96850971061023
3.0,,,53.54501975167354,50.47179961463149,53.54501975167355,66.49612333994008
4.0,,,54.0686776944386,49.97118634315398,54.0686776944386,67.02708824007601
5.0,,,54.595565119131265,49.4739185107959,54.59556511913127,67.56138854724651
6.0,,,55.12566417683061,48.98000702844172,55.12566417683061,68.09900755146177
7.0,,,55.65895633210985,48.48946196834153,55.65895633210985,68.63992771241028
8.0,,,56.19542238277996,48.00229255428862,56.19542238277996,69.18413067637539
9.0,,,56.73504248027075,47.51850715289975,56.73504248027076,69.7315972941313
10.0,,,57.27779615060344,47.03811326601874,57.27779615060344,70.28230763977541
11.0,,,57.82366231589768,46.56111752426207,57.82366231589768,70.83624103045071
