nu,u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-6,1.0,5.780235403359695,9.201620062050113,-50.26704537052808,55.96529850033418,9.019144282397704,13.187390183711464,-36.58887485208912,61.53049955020176,7.285635403359695,10.707020062050113,-48.76164537052808,57.47069850033419,10.524544282397704,14.692790183711464,-35.08347485208912,63.03589955020176,-42.6752601113086
-5,1.0,5.9739591152923,9.395343773982718,-50.07332165859548,56.159022212266784,5.312868204202012,8.895688711143931,-49.488804378622575,56.56073855766394,7.479359115292301,10.90074377398272,-48.56792165859547,57.66442221226679,10.3308205704651,14.49906647177886,-35.27719856402173,62.84217583826915,-41.9225601113086
-4,1.0,6.167682827224906,9.589067485915324,-49.87959794666287,56.3527459241994,5.119144492269407,8.701964999211324,-49.6825280905552,56.36701484573134,7.673082827224905,11.094467485915324,-48.37419794666287,57.8581459241994,6.624544492269406,10.207364999211324,-48.17712809055519,57.87241484573134,-21.52899179914289
-3,1.0,6.36140653915751,9.782791197847928,-49.68587423473027,56.546469636132,-15.773558262001623,-1.888188095220269,-53.3712027999142,52.35210050432073,7.866806539157511,11.288191197847928,-48.18047423473026,58.051869636132,6.430820780336801,10.01364128727872,-48.37085180248779,57.67869113379874,-8.830873178610947
-2,1.0,-14.531112283059704,-0.8071473091875493,-53.314607470691705,52.468359764675554,-15.57983455006902,-1.6944643832876642,-53.1774790879816,52.54582421625334,7.673082827224905,11.094467485915324,-48.37419794666287,57.8581459241994,6.624544492269406,10.207364999211324,-48.17712809055519,57.87241484573134,-8.112788333173684
-1,1.0,-14.3373885711271,-0.6134235972549438,-53.1208837587591,52.66208347660816,-15.773558262001623,-1.888188095220269,-53.3712027999142,52.35210050432073,7.866806539157511,11.288191197847928,-48.18047423473026,58.051869636132,-14.268158262001624,-0.3827880952202687,-51.8658027999142,53.85750050432073,-8.078173178610946
0,1.0,-22.701473668082983,-14.976511690004184,-43.37072698197132,54.740897975034684,-23.69063603714961,-15.79434221650447,-43.25968379138522,54.78074857942588,0.9615222219915952,5.9388264105787965,-41.86532698197132,56.246297975034686,-0.027640147075032,5.120995884078516,-41.75428379138522,56.28614857942589,-7.502075918539607
1,1.0,-14.3373885711271,-0.6134235972549438,-53.1208837587591,52.66208347660816,-26.17052843070404,-17.45608150043259,-57.54207669336087,47.98818085436924,-12.8319885711271,0.8919764027450565,-51.61548375875909,54.16748347660816,-14.268158262001624,-0.3827880952202687,-51.8658027999142,53.85750050432073,-6.722706084191022
2,1.0,-24.92815180378328,-16.37512162509122,-57.41526550010447,48.03080046288135,-25.97680471877144,-17.262357788499983,-57.348352981428256,48.18190456630185,-13.025712283059704,0.698252690812451,-51.8092074706917,53.97375976467556,-14.074434550069018,-0.189064383287664,-51.67207908798159,54.05122421625335,-6.6073883331736845
3,1.0,-24.734428091850678,-16.181397913158616,-57.22154178817186,48.22452417481395,-26.17052843070404,-17.45608150043259,-57.54207669336087,47.98818085436924,-12.8319885711271,0.8919764027450565,-51.61548375875909,54.16748347660816,-24.665128430704048,-15.950681500432587,-56.03667669336086,49.49358085436924,-5.970006084191022
4,1.0,-24.92815180378328,-16.37512162509122,-57.41526550010447,48.03080046288135,-25.97680471877144,-17.262357788499983,-57.348352981428256,48.18190456630185,-23.42275180378328,-14.869721625091222,-55.90986550010446,49.53620046288136,-24.47140471877144,-15.756957788499983,-55.842952981428255,49.687304566301854,16.580539418895064
5,1.0,-28.93128505789625,-21.0131564695618,-62.38695423746824,35.43289050643031,-25.78308100683883,-17.06863407656738,-57.15462926949565,48.37562827823445,-23.616475515715884,-15.063445337023824,-56.103589212037065,49.34247675094875,-24.277681006838836,-15.56323407656738,-55.64922926949565,49.88102827823446,41.90425939233238
6,1.0,-29.125008769828856,-21.2068801814944,-62.58067794940084,35.2391667944977,-25.58935729490623,-16.874910364634772,-56.96090555756305,48.56935199016706,-27.619608769828854,-19.7014801814944,-61.07527794940085,36.7445667944977,-24.08395729490623,-15.369510364634774,-55.45550555756304,50.07475199016706,42.65695939233238
