u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-20.0,-34.52237066942882,-20.93443641769436,-58.09257248667821,49.79949549627885,4.8198694788878225,9.947148285016036,-59.39722783336573,50.08114080626803,-33.01697066942882,-19.42903641769436,-56.58717248667813,51.304895496278846,6.32526947888783,11.452548285016036,-57.89182783336575,51.58654080626805,-7.304583469403268
-19.75,-34.39106564484309,-20.82307029269628,-58.08841872908792,49.76788553855262,4.688877855377917,9.836423653063909,-59.35838349802369,50.0681750297991,-32.885665644843094,-19.317670292696288,-56.58301872908789,51.27328553855265,6.194277855377921,11.341823653063903,-57.852983498023654,51.573575029799095,-7.314396218659185
-19.5,-34.25975130798709,-20.711696835812262,-58.08447224471881,49.73647455654385,4.557877276436485,9.72568826759622,-59.31971962781694,50.05540521832544,-32.7543513079871,-19.20629683581225,-56.57907224471878,51.24187455654381,6.063277276436484,11.23108826759622,-57.81431962781691,51.56080521832544,-7.324209779687882
-19.25,-34.128427766532766,-20.600316143142862,-58.080733225523524,49.70526285755151,4.426867810519708,9.614942193402422,-59.28123660924699,50.04283170238458,-32.623027766532765,-19.094916143142832,-56.57533322552349,51.210662857551526,5.932267810519706,11.120342193402431,-57.775836609247,51.548231702384584,-7.334024166311562
-19.0,-33.99709512828446,-20.488928311124372,-58.07720186044187,49.67425074635018,4.295849526581838,9.504185495820806,-59.24293482742179,50.03045481039874,-32.49169512828446,-18.983528311124406,-56.571801860441894,51.179650746350156,5.8012495265818425,11.009585495820797,-57.73753482742177,51.53585481039874,-7.343839392271284
-18.75,-33.86575350117665,-20.377533436524896,-58.073878335386674,49.64343852516862,4.1648224940749525,9.39341824073695,-59.204814666033265,50.01827486865238,-32.36035350117665,-18.87213343652489,-56.56847833538672,51.148838525168586,5.6702224940749515,10.898818240736961,-57.69941466603324,51.52367486865239,-7.353655471224969
-18.5,-33.734402993271644,-20.266131616439722,-58.070762833228216,49.61282649366976,4.033786782948173,9.282640494582603,-59.166876507334784,50.00629220126904,-32.22900299327162,-18.760731616439752,-56.565362833228164,51.118226493669816,5.539186782948169,10.7880404945826,-57.66147650733479,51.51169220126905,-7.36347241674579
-18.25,-33.603043712757525,-20.154722948287116,-58.067855533780666,49.58241494892928,3.90274246364716,9.171852324334367,-59.12912073211906,49.99450713018915,-32.09764371275753,-18.64932294828708,-56.5624555337807,51.0878149489293,5.408142463647162,10.677252324334365,-57.62372073211905,51.499907130189165,-7.3732902423199596
-18.0,-33.47167576794552,-20.04330752980389,-58.06515661378762,49.55220418541555,3.7716896071131236,9.06105379751244,-59.09154771969524,49.982919975147425,-31.96627576794553,-18.53790752980387,-56.55975661378765,51.057604185415585,5.277089607113126,10.566453797512443,-57.58614771969518,51.48831997514736,-7.383108961345373
-17.75,-33.340299267268,-19.9318854590409,-58.06266624690822,49.522194494969,3.6406282847824545,8.950244982179038,-59.05415784786638,49.971531053650075,-31.834899267268014,-18.426485459040926,-56.55726624690827,51.027594494969016,5.1460282847824645,10.455644982179038,-57.54875784786634,51.476931053650056,-7.392928587129235
