nu,u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-6,1.0,5.780263485368127,9.201652824393308,-50.26706761542207,55.96528200214975,9.0191442823977,13.187390183711452,-36.58887485208913,61.53049955020177,7.285663485368127,10.707052824393308,-48.76166761542207,57.47068200214976,10.5245442823977,14.692790183711454,-35.083474852089125,63.03589955020176,-42.6752712337556
-5,1.0,5.973987197300732,9.395376536325912,-50.07334390348948,56.15900571408236,5.312895978628244,8.89572111464119,-49.488825871468826,56.56072164275498,7.479387197300731,10.900776536325914,-48.56794390348947,57.66440571408236,10.330820570465097,14.499066471778846,-35.27719856402174,62.84217583826916,-41.922571233755605
-4,1.0,6.167710909233336,9.589100248258518,-49.87962019155686,56.35272942601496,5.119172266695639,8.701997402708589,-49.68254958340143,56.36699793082238,7.673110909233337,11.094500248258518,-48.37422019155686,57.85812942601497,6.62457226669564,10.207397402708589,-48.17714958340143,57.87239793082238,-21.52898865835289
-3,1.0,6.361434621165941,9.782823960191122,-49.685896479624255,56.546453137947566,-15.77356833567482,-1.8881998478390032,-53.371195499808856,52.35210712976096,7.866834621165941,11.288223960191123,-48.18049647962425,58.05185313794757,6.430848554763034,10.013673690775985,-48.37087329533403,57.67867421888978,-8.83088409175691
-2,1.0,-14.53112163441908,-0.8071582191067925,-53.31460052217666,52.46836571143794,-15.579844623742217,-1.6944761359063985,-53.17747178787626,52.545830841693565,7.673110909233337,11.094500248258518,-48.37422019155686,57.85812942601497,6.62457226669564,10.207397402708589,-48.17714958340143,57.87239793082238,-8.11279888516274
-1,1.0,-14.337397922486476,-0.6134345071741869,-53.120876810244056,52.66208942337055,-15.77356833567482,-1.8881998478390032,-53.371195499808856,52.35210712976096,7.866834621165941,11.288223960191123,-48.18049647962425,58.05185313794757,-14.26816833567482,-0.3827998478390028,-51.86579549980885,53.85750712976097,-8.078184091756912
0,1.0,-22.701473668082976,-14.976511690004056,-43.37072698197133,54.740897975034656,-23.69063603714954,-15.794342216504466,-43.25968379138524,54.78074857942581,0.9615222219916028,5.938826410578928,-41.86532698197132,56.24629797503466,-0.0276401470749885,5.120995884078525,-41.75428379138524,56.286148579425806,-7.502075918539522
1,1.0,-14.337397922486476,-0.6134345071741869,-53.120876810244056,52.66208942337055,-26.170583781213686,-17.45614607602717,-57.5420397771799,47.988220422253264,-12.831997922486476,0.8919654928258134,-51.61547681024405,54.16748942337055,-14.26816833567482,-0.3827998478390028,-51.86579549980885,53.85750712976097,-6.722716214830331
2,1.0,-24.92820664293849,-16.375185604105607,-57.41522792305573,48.03083846470238,-25.97686006928108,-17.262422364094565,-57.348316065247296,48.18194413418587,-13.02572163441908,0.6982417808932078,-51.80920052217665,53.97376571143794,-14.074444623742217,-0.1890761359063981,-51.67207178787625,54.05123084169357,-6.607398885162739
3,1.0,-24.73448293100589,-16.181461892173004,-57.22150421112312,48.22456217663499,-26.170583781213686,-17.45614607602717,-57.5420397771799,47.988220422253264,-12.831997922486476,0.8919654928258134,-51.61547681024405,54.16748942337055,-24.66518378121369,-15.950746076027167,-56.03663977717989,49.49362042225327,-5.970016214830332
4,1.0,-24.92820664293849,-16.375185604105607,-57.41522792305573,48.03083846470238,-25.97686006928108,-17.262422364094565,-57.348316065247296,48.18194413418587,-23.422806642938497,-14.869785604105608,-55.90982792305572,49.53623846470239,-24.471460069281083,-15.757022364094563,-55.842916065247294,49.68734413418587,16.580526430298384
5,1.0,-28.93128505789624,-21.01315646956175,-62.38695423746825,35.43289050643027,-25.783136357348475,-17.06869865216196,-57.15459235331469,48.37566784611848,-23.616530354871102,-15.063509316038212,-56.10355163498833,49.34251475276978,-24.27773635734848,-15.56329865216196,-55.64919235331468,49.88106784611848,41.90427917627437
6,1.0,-29.12500876982884,-21.206880181494355,-62.58067794940087,35.23916679449766,-25.58941264541587,-16.874974940229357,-56.960868641382085,48.56939155805108,-27.619608769828844,-19.701480181494357,-61.075277949400856,36.74456679449767,-24.08401264541587,-15.369574940229356,-55.45546864138208,50.07479155805108,42.656979176274376
