nu,u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup,LL1_Kp_Sup_to_LL2_Kp_Sup
-6,1.0,,,59.46872043981538,59.46872043981538,,,,
-5,1.0,58.38454698611002,,59.46872043981539,59.468720439815385,,,,
-4,1.0,58.38454698611002,58.38454698611002,59.46872043981538,59.46872043981538,,,,
-3,1.0,51.48299565196985,58.38454698611001,59.46872043981538,59.46872043981538,,,,
-2,1.0,51.48299565196986,58.38454698611002,52.507442303069865,59.46872043981538,,,,
-1,1.0,51.48299565196985,51.48299565196985,52.507442303069865,59.46872043981538,,,,
0,1.0,,46.875279675463766,,47.80415339255025,69.71740966503872,70.57509079593028,,
1,1.0,,51.48299565196985,52.507442303069865,52.507442303069865,,65.44436649828043,,
2,1.0,,51.48299565196985,,52.50744230306986,64.40602406880798,65.44436649828043,,
3,1.0,,,,52.507442303069865,64.406024068808,65.44436649828043,65.44436649828044,
4,1.0,,,,,64.40602406880798,65.44436649828043,65.44436649828043,64.406024068808
5,1.0,,,,,,65.44436649828043,65.44436649828044,64.406024068808
6,1.0,,,,,,65.44436649828043,65.44436649828043,
